,participant_id,file_name,Sentence ID,Iteration,probability,Expected Transcription,large,base,medium,small,tiny
23,t2,t2_M_MN_SAUCE_block4_sauce_88_2_L2_large-v3.txt,88_2,L2,low prob,Daddy's shirt was missing a fork.,daddy's shirt was missing a fork.,"That is, Church was missing a fork.",Daddy's shirt was missing a fork.,Daddy's church was missing a fork.,That is sure it was missing a fork.
24,t2,t2_F_MN_SAUCE_block0_sauce_59_2_L1_large-v3.txt,59_2,L1,low prob,At the playground the girl went on the oranges.,"At the playground, the girl went on the oranges.",Add the playground the grow-in on the oranges.,"At the playground, the girl went on the oranges.",Add the playground grove when on the oranges.,Add the playground to grow in on the oranges.
25,t2,t2_F_MN_SAUCE_block0_sauce_14_1_L2_large-v3.txt,14_1,L2,low prob,"To play tug of war, we pulled on the grass.",To play tackle 4 we put on the grass.,To play a talk of what we put on the grass.,To play takoff war we pull on the grass.,To play Tackle 4 we pull on the grass.,To play talk of four we pull on the grass.
26,t2,t2_F_MN_SAUCE_block0_sauce_17_2_L1_large-v3.txt,17_2,L1,high prob,"It was hot outside, so we jumped into the pool.",It was hot outside so we jumped into the pool.,It was hot outside so we jumped into the pool.,It was hot outside so we jumped into the pool.,It was hot outside so we jumped into the pool.,It was hard outside so we jump into the pool.
27,t2,t2_F_MN_SAUCE_block0_sauce_63_1_L1_large-v3.txt,63_1,L1,low prob,I fell in the mud and have to put on a new button.,I fell in the mud and have to put on a new bottom.,I fell in the mud and have to put on a new bottom.,I fell in the mud and have to put on a new bottom.,I fell in the mud and have to poo on a new bottom.,I fell in the mud and have to put on a new bottom.
28,t2,t2_F_MN_SAUCE_block0_sauce_4_2_L1_large-v3.txt,4_2,L1,high prob,"When you go outside, please close the door.","When you go outside, please close the door.","When you go outside, please close the door.","When you go outside, please close the door.","When you go outside, please close the door.",When you go outside please close the door.
29,t2,t2_F_MN_SAUCE_block0_sauce_72_3_L1_large-v3.txt,72_3,L1,high prob,The boy has a toy choo-choo train.,The boy has a toy choo-choo train.,The boy has a toy choo choo train.,The boy has a toy choo-choo train.,The boy has a toy choo choo train.,The boy has a toy due to train.
30,t2,t2_F_MN_SAUCE_block0_sauce_7_1_L2_large-v3.txt,7_1,L2,low prob,My teacher showed us fossils of an extinct crown.,My teacher showed us fossils of an extinct crown.,My teacher showed us fossils of an extinct crown.,My teacher showed us fossils of an extinct crown.,My teacher showed us fossils of an extinct crown.,My teacher showed us fossils of an extinct crown.
31,t2,t2_F_MN_SAUCE_block0_sauce_60_2_L2_large-v3.txt,60_2,L2,high prob,The bank is where he keeps the money.,The bank is where he keeps the money.,The bank is where he keeps the money.,The bank is where he keeps the money.,The bank is where he keeps the money.,The bang is where he keeps the money.
32,t2,t2_F_MN_SAUCE_block0_sauce_14_3_L1_large-v3.txt,14_3,L1,nonword,"To play mug of war, we pulled on the grass.","To play mug of wool, we poo on the grass.",To play Mark of War we pull on the grass.,To play mug of war we poo on the grass.,"To play Markov 4, we pull on the grass.",To play Magofu or we poo on the grass.
33,t2,t2_F_MN_SAUCE_block0_sauce_48_2_L2_large-v3.txt,48_2,L2,low prob,We moved our furniture on the back of a flower.,Remove our furniture on the back of a flower.,We move our furniture on the back of a flower.,Remove our furniture on the back of a flower.,Remove our furniture on the back of a flower.,We move our furniture on the back of a flower.
34,t2,t2_M_MN_SAUCE_block4_sauce_99_2_L1_large-v3.txt,99_2,L1,nonword,"To cross the sivver, we walked on a banana.",to cross the seaward we walked on a banana.,To cross the seaver we walked on a banana.,To cross the seaver we walked on a banana.,To cross the seaver we worked on a banana.,"To cross the sea, we walked on a banana."
35,t2,t2_F_MN_SAUCE_block0_sauce_72_1_L2_large-v3.txt,72_1,L2,nonword,The coy has a toy choo-choo leaf.,The koi has a toy choo-choo leaf.,The coin has a toy to chill leave.,The koi has a toy choo-choo leaf.,The koi has a toy chuchu leaf.,The Koi has a toy to chew leaf.
36,t2,t2_F_MN_SAUCE_block0_sauce_63_3_L2_large-v3.txt,63_3,L2,nonword,I fell in the hud and have to put on a new button.,I fell in the hut and have to put on a new bottom.,I fell in the hard and have to put on a new bottom.,I fell in the hot and have to put on a new bottom.,I fell in the heart and have to put on a new bottom.,I fell in the heart and have to put on a new bottom.
37,t2,t2_F_MN_SAUCE_block0_sauce_7_3_L1_large-v3.txt,7_3,L1,high prob,My teacher showed us fossils of an extinct dinosaur.,My teacher showed us fossils of an extinct dinosaur.,My teacher showed us fossils of an extinct dinosaur.,My teacher showed us fossils of an extinct dinosaur.,My teacher showed us fossils of an extinct dinosaur.,My teacher showed us fossils of an extinct dinosaur.
38,t2,t2_F_MN_SAUCE_block0_sauce_71_2_L1_large-v3.txt,71_2,L1,nonword,I have a woon but I need a web.,I have a wound but I need a web.,I have a wound but I need a web.,I have a wound but I need a web.,I have a wound but I need a web.,I have a wound but I need a weapon.
39,t2,t2_F_MN_SAUCE_block0_sauce_52_1_L1_large-v3.txt,52_1,L1,low prob,"To see what time it is, look at a pizza.","To see what time it is, look at the pizza.","To see what time it is, look at the piece.","To see what time it is, look at the pizza.","To see what time it is, look at the pizza.","To see what time it is, look at the pizza."
40,t2,t2_F_MN_SAUCE_block0_sauce_43_3_L1_large-v3.txt,43_3,L1,nonword,The zoy put the groceries in a horse.,The Zui put groceries in a horse.,The soy-pued groceries in a horse.,The joy put groceries in a horse.,The joy put the groceries in a horse.,That's why put the groceries in a horse.
41,t2,t2_F_MN_SAUCE_block0_sauce_51_2_L2_large-v3.txt,51_2,L2,high prob,She sleeps with her head on a pillow.,She sleeps on her head on a pillow.,She slips on her head on a pillow.,she sleeps on her head on a pillow okay.,she slips on her head on a pillow.,She slips on her head on a pillow.
42,t2,t2_M_MN_SAUCE_block4_sauce_80_2_L1_large-v3.txt,80_2,L1,low prob,We roasted marshmallows over the giraffe.,We roast these marshmallows over the giraffe.,We roast as marshmallows over the giraffe.,We roast as marshmallows over the giraffe.,We roast the smosh mellows over the trev.,We roast as marshmallows over the trayff.
43,t2,t2_M_MN_SAUCE_block4_sauce_92_3_L2_large-v3.txt,92_3,L2,high prob,The farmer milked the cow.,nose the farmer milked the cow.,Close the former muke to cow.,The farmer milked the cow.,The pharma mucocow.,"those, the form of muc to cow."
44,t2,t2_M_MN_SAUCE_block4_sauce_83_1_L2_large-v3.txt,83_1,L2,nonword,The saterpillar is munching on a green cow.,The scepter pillow is munching on a green cow.,The set up pillow is munching on a green cow.,The setter pillow is munching on a green cow.,The setter pillow is munching on a green cow.,The staffer pillow is marching on a green cow.
45,t2,t2_F_MN_SAUCE_block0_sauce_68_2_L1_large-v3.txt,68_2,L1,high prob,At the circus the girl saw the clown.,"At the circus, the girls saw the clown.",Add the sugars to grow salt to clown.,"At the circus, the girl saw the clown.",Add the circuits to grow solder clown.,At the so-called the girls saw the clown.
46,t2,t2_F_MN_SAUCE_block0_sauce_34_3_L2_large-v3.txt,34_3,L2,nonword,"At the broo, I saw a tall key.",At the brew I saw a turkey.,At the brew I saw a turkey.,"At the brook, I saw a tall key.","At the brew, I saw a talky.",At the bruh I saw a tar key.
47,t2,t2_F_MN_SAUCE_block0_sauce_25_1_L2_large-v3.txt,25_1,L2,high prob,When I get a cold I have a runny nose.,"When I get it cold, I have a runny nose.","When I get it cold, I have a running nose.","When I get it cold, I have a runny nose.","When I get it cold, I have a runny nose.","When I got it cold, I have a Ronnie nose."
48,t2,t2_F_MN_SAUCE_block0_sauce_26_2_L1_large-v3.txt,26_2,L1,nonword,The swee sat on the petals of the watch.,The sweet sat on the petal of the watch.,The sweep set on the pedal of the watch.,The suite sat on the pedal of the watch.,The suede sat on the paddle of the watch.,"This way, sad on the pedal of the watch."
49,t2,t2_M_MN_SAUCE_block4_sauce_91_2_L2_large-v3.txt,91_2,L2,high prob,I went sailing on a boat.,I went sailing on a boat.,I went sailing on a boat.,I went sailing on a boat.,I went sailing on a boat.,I've been selling on a boat.
50,t2,t2_M_MN_SAUCE_block4_sauce_83_3_L1_large-v3.txt,83_3,L1,high prob,The caterpillar is munching on a green leaf.,The caterpillar is munching on a green leaf.,The caterpillars marching on a green leaf.,The caterpillar is munching on a green leaf.,The caterpillar is munching on a green leaf.,The caterpillars marching on a green leaf.
51,t2,t2_M_MN_SAUCE_block4_sauce_92_1_L1_large-v3.txt,92_1,L1,nonword,The marmer milked the nose.,The marmering milked the nose.,The murmuring milked the nose.,The marbling milked the nose.,The marmuring milked the nose.,The Marmring milked nose.
52,t2,t2_F_MN_SAUCE_block0_sauce_43_1_L2_large-v3.txt,43_1,L2,low prob,The boy put the groceries in a horse.,The boy put the groceries in a horse.,The boy put the groceries in a horse.,The boy put the groceries in a horse.,The boy put the groceries in a horse.,The boy put the groceries in a horse.
53,t2,t2_F_MN_SAUCE_block0_sauce_52_3_L2_large-v3.txt,52_3,L2,nonword,"To see what bime it is, look at a pizza.","To see what time it is, look at the pizza.","To see what bind it is, look at the piece.","To see what bind it is, look at the pizza.",To see what bim it is look at the pizza.,To see what bind it is look at the piece.
54,t2,t2_M_MN_SAUCE_block4_sauce_78_2_L1_large-v3.txt,78_2,L1,high prob,The apple grew on a tree.,The apple grew on the tree.,The apple grew on the tree.,The apple grew on a tree.,The apple grew on a tree.,The apple grew on the tree.
55,t2,t2_F_MN_SAUCE_block0_sauce_40_2_L1_large-v3.txt,40_2,L1,nonword,"For deckfast, I scrambled the guns.","For deck fest, I scramble the gons.",For deckfest I scrambled the guns.,"For deck fest, I scramble the gonds.","For the deck fest, I scramble the cons.","For Dachfest, I scramble the cons."
56,t2,t2_F_MN_SAUCE_block0_sauce_25_3_L1_large-v3.txt,25_3,L1,low prob,When I get a cold I have a runny pumpkin.,"When I get a cold, I have a runny pumpkin.","When I get a code, I have a running pumpkin.","When I get a cold, I have a runny pumpkin.","When I get a coat, I have a running pumpkin.","When I got it cold, I have a running pumpkin."
57,t2,t2_F_MN_SAUCE_block0_sauce_34_1_L1_large-v3.txt,34_1,L1,high prob,"At the zoo, I saw a tall giraffe.","At the zoo, I saw a tall giraffe.","At a zoo, I saw a tall giraffe.","At the zoo, I saw a tar giraffe.","At a zoo, I saw a tar giraffe.","At the zoo, I saw a tall giraffe."
58,t2,t2_F_MN_SAUCE_block0_sauce_37_2_L2_large-v3.txt,37_2,L2,low prob,Grandma sits on her porch in a bat.,Grandma sat on her porch in a bed.,Grandma sits on her porch and a bed.,Grandma sits on her porch in a bed.,Grandma sits on her porch in a bed.,Grandma says on her porch and I bet.
59,t2,t2_F_MN_SAUCE_block0_sauce_6_3_R2P2_large-v3.txt,6_3,R2P2,nonword,The scared Jurtle won't come out of its airplane.,The scared turtle won't come out of its airplane.,The scared turtle won't come out of its ear plane.,The scared turtle won't come out of its airplane.,The scared turtle won't come out of its ear plane.,The scared turtle will come out of his ear playing.
60,t2,t2_F_MN_SAUCE_block0_sauce_65_2_L2_large-v3.txt,65_2,L2,nonword,The coloring hook comes with a box of hair.,The coloring hook comes with a box of hairs.,"The coloring hook comes with a box of hairs.
Hair.
Hair.
Hair.
Hair.
Hair.","The coloring hook comes with a box of hairs.
HAIRS NO S.","The coloring hook comes with a box of hairs.
Hair.
Hair.
No S.
Okay.","The coloring hook comes with a box of hairs.
Hair.
Hair.
Hair.
No rest.
Okay."
61,t2,t2_F_MN_SAUCE_block0_sauce_39_3_L1_large-v3.txt,39_3,L1,high prob,The bunny nibbled a carrot.,The bunny nibbled a carrot.,The bunny nibble a carrot.,The bunny nibbled a carrot.,The bunny nibble a carrot.,The Bunnyim Never A Carried.
62,t2,t2_F_MN_SAUCE_block0_sauce_28_1_L1_large-v3.txt,28_1,L1,nonword,"First put on your nocks, then put on your crayons.","Put on your nocks then put on your crayons.
Oh, oh, okay.","Put on your knocks then put on your crayons.
Ah, ah, okay.","Put on your nocks then put on your crayons.
First put on your nocks.
Oh, oh, okay.","Put on your knocks then put on your crayons.
Oh, okay.","Put on your knocks, then put on your crayons.
Uh-uh, okay."
63,t2,t2_F_MN_SAUCE_block0_sauce_2_1_L2_large-v3.txt,2_1,L2,high prob,Mom likes to use the elevator instead of the stairs.,Mom likes to use the elevator instead of the stairs.,Mon likes to use the elevator instead of the stairs.,Meng likes to use the elevator instead of the stairs.,Monk likes to use the elevator instead of the stairs.,Among the likes to use the elevator instead of the stairs.
64,t2,t2_F_MN_SAUCE_block0_sauce_1_2_L1_large-v3.txt,1_2,L1,low prob,The monkey ate the shark.,The monkey ate the shark.,The monkey ate the shark.,The monkey ate the shark.,The monkey ate the shark.,The Monkey A the Shark.
65,t2,t2_F_MN_SAUCE_block0_sauce_66_1_L1_large-v3.txt,66_1,L1,high prob,"For breakfast, Mommy poured me a bowl of cereal.","For breakfast, my mommy put me a bowl of cereal.",For breakfast my mommy put me a bowl of cereal.,"For breakfast, my mommy poured me a bowl of cereal.",For breakfast my mommy put me a bowl of cereal.,For breakfast my mommy pulled me a bar of a bowl of cereal.
66,t2,t2_F_MN_SAUCE_block0_sauce_12_2_L1_large-v3.txt,12_2,L1,low prob,The rockstar was playing his door.,The rock star was playing his tour.,The rock star was playing his tour.,The Rockstar was playing Histoire.,The Rockstar was playing his tour.,The rock saw was playing his tour.
67,t2,t2_F_MN_SAUCE_block0_sauce_11_1_L2_large-v3.txt,11_1,L2,nonword,The ider spun a big car.,The Idlers found a big car.,The idors spawn a big car.,The idols bought a big car.,The idle spawn a big car.,The idler spawned a big car.
68,t2,t2_M_MN_SAUCE_block4_sauce_76_3_L2_large-v3.txt,76_3,L2,high prob,The man checked the time on his watch.,The man checked the time on his watch.,The magic design only swatch.,The man checked the time on his watch.,The man checked the time on his watch.,the each Perfect hull is.
69,t2,t2_F_MN_SAUCE_block0_sauce_2_3_L1_large-v3.txt,2_3,L1,low prob,Mom likes to use the elevator instead of the dragon.,Mom likes to use the elevator instead of the dragon.,Mom likes to use the elevator instead of the dragon.,Mom likes to use the elevator instead of the dragon.,Mom likes to use the elevator instead of the dragon.,Mom likes to use the elevator instead of the dragon.
70,t2,t2_F_MN_SAUCE_block0_sauce_74_2_L1_large-v3.txt,74_2,L1,nonword,You can make booce from fresh squeezed tape.,You can make booze from fresh squeeze tapes.,You can make booze from fresh squeezed tapes.,You can make booze from fresh squeeze tapes.,You can make boots from fresh squeeze tapes.,You can make booze from fresh squeezed tapes.
71,t2,t2_F_MN_SAUCE_block0_sauce_28_3_L2_large-v3.txt,28_3,L2,low prob,"First put on your socks, then put on your crayons.",First put on your socks then put on your crayons.,first put on your socks then put on your crayons.,first put on your socks then put on your crayons.,First put on your socks then put on your crayons.,"First put on your socks, then put on your crayons."
72,t2,t2_F_MN_SAUCE_block0_sauce_39_1_L2_large-v3.txt,39_1,L2,nonword,The trunny nibbled a clown.,The Chonye Nebo A Clown.,The Tronion Nebula Eclown.,"The Tronian Nebo, a clown.",the trunnion nibble a clown.,the chanadooboe clown.
73,t2,t2_F_MN_SAUCE_block0_sauce_66_3_L2_large-v3.txt,66_3,L2,low prob,"For breakfast, Mommy poured me a bowl of butterfly.","For breakfast, mommy poured me a bowl of butterfly.
Poured.","For breakfast mommy pulled me a bowl of butterfly.
Poor.","For breakfast, mommy pulled me a ball of butterfly.
Poured.","For breakfast, mommy put me a bowl of butterfly.
Port.","The breakfast mommy pulled me a ball of butterfly.
PORT."
74,t2,t2_M_MN_SAUCE_block4_sauce_76_1_L1_large-v3.txt,76_1,L1,low prob,The man checked the time on his stairs.,The man checked the time on his stairs.,Demand check the time on his stairs.,The man checked the time on his stairs.,The man checked the time on his stairs.,The man checked the tie on his tears.
75,t2,t2_F_MN_SAUCE_block0_sauce_33_1_R1P2_large-v3.txt,33_1,R1P2,high prob,"For Halloween, he carved a pumpkin.","For Halloween, he carved a pumpkin.","For Halloween, he carved a pumpkin.","For Halloween, he carved a pumpkin.","For Halloween, he carved a pumpkin.",For Halloween he called a pumpkin.
76,t2,t2_F_MN_SAUCE_block0_sauce_11_3_L1_large-v3.txt,11_3,L1,low prob,The spider spun a big car.,The spider spawned a big car.,The spider spawned a big car.,The spider spawned a big car.,The spider spawned a big car.,Despite her spawn a big car.
77,t2,t2_F_MN_SAUCE_block0_sauce_30_3_L2_large-v3.txt,30_3,L2,nonword,"At the ricnic, the crumbs attracted eggs.","At the root neck, the crumbs attract eggs.",Add the Rooknick to Crumbs the Tracked X.,"At the ricknick, the crumbs attract eggs.","Add the Riknik, the crumbs attract eggs.","At the Rick Link, the Crumbs Attract Axe."
78,t2,t2_F_MN_SAUCE_block0_sauce_21_1_L2_large-v3.txt,21_1,L2,low prob,"He always wears a helmet on that fast, loud ball.","He always wears a helmet on that fast, loud ball.",He always wears a helmet on that fast-loud ball.,He always wears a helmet on that fast loud ball.,He always wears a helmet on that fast loud ball.,He always wears a helmet on that fast loudball.
79,t2,t2_F_MN_SAUCE_block0_sauce_8_2_L2_large-v3.txt,8_2,L2,high prob,"If shorts won't be warm enough, you can wear pants.","If shoes won't be warm enough, you can wear pants.","If it won't be warm enough, you can wear pants.","If shorts won't be warm enough, you can wear pants.","If shorts won't be warm enough, you can wear pants.","If short won't be warm enough, you can wear pants."
80,t2,t2_F_MN_SAUCE_block0_sauce_22_2_L1_large-v3.txt,22_2,L1,nonword,The kide wore a fancy bed.,The kite wore a fancy bed.,The kite wore a fancy bat.,The kite wore a fancy bed.,The kite wore a fancy bed.,The Kied War A Fancy Bad.
81,t2,t2_F_MN_SAUCE_block0_sauce_56_1_L1_large-v3.txt,56_1,L1,high prob,I was scared that under my bed there could be a monster.,I was scared that under my bed there could be a monster.,"I was scared that under my bad, Dira could be a monster.",I was scared that under my bed there could be a monster.,I was scared that under my bed there could be a monster.,I was scared that under my bed there could be a monster.
82,t2,t2_F_MN_SAUCE_block0_sauce_47_3_L1_large-v3.txt,47_3,L1,low prob,"At dinner, my family sits together at the man.","At dinner, my family sits together at the man.","At dinner, my family sits together at the man.","At dinner, my family sits together at the man.","At dinner, my family sits together at the man.",As dinner my family says together at the man.
83,t2,t2_F_MN_SAUCE_block0_sauce_18_1_L1_large-v3.txt,18_1,L1,high prob,Mommy read me my favorite book.,Mommy read me my favorite book.,Mommy Rat Me My Favorite Book.,Mommy Rat Me My Favorite Book.,Mommy Rat me my favorite book.,Mommy rat me my favorite book.
84,t2,t2_F_MN_SAUCE_block0_sauce_55_2_L2_large-v3.txt,55_2,L2,high prob,The sound was so loud I had to cover my ears.,The sound was so loud I had to cover my ears.,The sound was so loud I had to cover my ears.,The sound was so loud I had to cover my ears.,The sun was so low I had to cover my ears.,The sound was so loud I had to cover my ears.
85,t2,t2_M_MN_SAUCE_block4_sauce_84_2_L1_large-v3.txt,84_2,L1,nonword,The brave pight killed the chair.,The brave pike cued the chair.,The brave pike you the chair.,The brave pike queued the chair.,The brave pike cute the chair.,to break high cue the chair.
86,t2,t2_F_MN_SAUCE_block0_sauce_65_3_R2P2_large-v3.txt,65_3,R2P2,low prob,The coloring book comes with a box of hair.,The coloring book comes with a box of hair.,The coloring book comes with a box of here.,The coloring book comes with a box of here.,The coloring book comes with a box of here.,The Caring Book comes with a box of here.
87,t2,t2_M_MN_SAUCE_block4_sauce_96_3_L2_large-v3.txt,96_3,L2,low prob,"In the woods lived a big, growly bear.",In the woods lived a big growling bear.,"In the wood, leave a big growl there.",In the woods live a big growly bear.,In the woods live a big growly bear.,"In the U, leave a big growlibare."
88,t2,t2_M_MN_SAUCE_block4_sauce_100_3_L1_large-v3.txt,100_3,L1,high prob,I wish I had a trunk like that elephant.,I wish I had a trunk like the elephants.,I wish I had a trunk like the elephant.,I wish I had a trunk like the elephant.,I wish I had a trunk like the elephant.,I wish I had a trunk light to elephant.
89,t2,t2_M_MN_SAUCE_block4_sauce_87_1_L2_large-v3.txt,87_1,L2,nonword,I like to crounce the slide.,I like to crown the slide.,I like to crown this light.,I like to crown the slide.,I like to crown the slide.,I like to crown this light.
90,t2,t2_F_MN_SAUCE_block0_sauce_71_1_R3P2_large-v3.txt,71_1,R3P2,high prob,I have a spoon but I need a fork.,I have a spoon but I need a fork.,I have a spoon but I need a fork.,I have a spoon but I need a fork.,I have a spoon but I need a fork.,I have a spoon but I need a fork.
91,t2,t2_F_MN_SAUCE_block0_sauce_21_3_L1_large-v3.txt,21_3,L1,high prob,"He always wears a helmet on that fast, loud motorcycle.","He always wears a helmet on that fast, loud motorcycle.",He always wears a helmet on that fast-loud motorcycle.,He always wears a helmet on that fast loud motorcycle.,He always wears a helmet on that fast loud motorcycle.,He always wears a helmet on that fast-loud motorcycle.
92,t2,t2_F_MN_SAUCE_block0_sauce_30_1_L1_large-v3.txt,30_1,L1,low prob,"At the picnic, the crumbs attracted eggs.","At the picnic, the crumbs attract eggs.","At the picnic, the crumbs are trad acts.","At the picnic, the crumbs attract eggs.","Add the picnic, the crumbs are chat-axe.","At the picnic, the crumbs are tread acts."
93,t2,t2_F_MN_SAUCE_block0_sauce_33_2_L2_large-v3.txt,33_2,L2,low prob,"For Halloween, he carved a dress.","Oh, for Halloween, he carved a dress.","Oh, for Halloween he coughed to address.","Oh, for Halloween he coughed a dress.","Oh, for Halloween he coughed a dress.","Oh, so Halloween he coughed a dress."
