participant_id,sentence_id,probability,unique_iterations,best_wer_across_iterations,best_iteration,best_model
t1,52_2,high prob,"['L1', 'L2']",0.0,L2,large
t1,53_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,53_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,54_1,low prob,"['R1P1', 'L2', 'L1', 'R1P2']",0.0,L1,large
t1,54_3,high prob,"['L1', 'R1P1', 'L2', 'R1P2']",0.0,L2,large
t1,55_1,low prob,"['L2', 'L1']",0.0,L1,large
t1,55_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,56_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,56_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,57_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,57_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,58_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,58_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,59_1,high prob,"['R2P1', 'L1', 'L2', 'R2P2']",0.0,L1,large
t1,59_2,low prob,"['L2', 'R2P1', 'R2P2', 'L1']",0.0,L1,base
t1,5_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,5_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,60_1,low prob,"['L2', 'L1']",0.0,L1,large
t1,60_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,61_2,low prob,"['L1', 'L2']",0.1111111111111111,L1,large
t1,61_3,high prob,"['L1', 'L2']",0.1111111111111111,L1,large
t1,62_1,low prob,"['L2', 'L1']",0.0,L1,large
t1,62_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,63_1,low prob,"['L2', 'L1']",0.0,L1,large
t1,63_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,64_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,64_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,65_1,high prob,"['L2', 'R3P2', 'L1', 'R3P1']",0.0,L1,large
t1,65_3,low prob,"['R3P2', 'L1', 'L2', 'R3P1']",0.0,R3P1,large
t1,66_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,66_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,67_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,67_3,high prob,"['L1', 'L2']",0.0,L1,large
t1,68_1,low prob,"['L1', 'L2']",0.125,L1,large
t1,68_2,high prob,"['L2', 'L1']",0.0,L1,medium
t1,69_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,69_3,high prob,"['L2', 'L1']",0.0,L1,base
t1,6_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,6_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,70_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,70_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,71_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,71_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,72_2,low prob,"['L2', 'L1']",0.0,L1,large
t1,72_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,73_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,73_2,low prob,"['L2', 'L1']",0.0,L1,large
t1,74_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,74_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,75_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,75_3,low prob,"['L2', 'L1']",0.125,L1,large
t1,76_1,low prob,"['L1', 'R1P2', 'R1P1', 'L2']",0.0,L1,large
t1,76_3,high prob,"['L2', 'R1P2', 'L1', 'R1P1']",0.0,R1P1,large
t1,77_1,high prob,"['R2P2', 'L1', 'R2P1', 'L2']",0.0,L2,large
t1,77_3,low prob,"['L2', 'R2P2', 'R2P1', 'L1']",0.0,L1,medium
t1,78_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,78_3,low prob,"['L1', 'L2']",0.0,L1,medium
t1,79_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,79_3,low prob,"['L1', 'L2']",0.0,L1,base
t1,7_1,low prob,"['L2', 'L1']",0.0,L2,large
t1,7_3,high prob,"['L1', 'L2']",0.0,L1,large
t1,80_1,high prob,"['R3P2', 'L2', 'L1', 'R3P1']",0.0,L1,large
t1,80_2,low prob,"['L1', 'R3P2', 'R3P1', 'L2']",0.0,L1,large
t1,81_1,low prob,"['L2', 'L1']",0.0,L2,large
t1,81_2,high prob,"['L1', 'L2']",0.0,L2,large
t1,82_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,82_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,83_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,83_3,high prob,"['L1', 'L2']",0.0,L1,large
t1,84_1,low prob,"['L2', 'L1']",0.0,L1,large
t1,84_3,high prob,"['L1', 'L2']",0.0,L1,large
t1,85_1,low prob,"['L2', 'L1']",0.0,L1,large
t1,85_3,high prob,"['L1', 'L2']",0.0,L1,large
t1,86_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,86_3,high prob,"['L1', 'L2']",0.0,L1,large
t1,87_2,high prob,"['L1', 'L2']",0.0,L2,large
t1,87_3,low prob,"['L1', 'L2']",0.0,L2,large
t1,88_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,88_2,low prob,"['L2', 'L1']",0.0,L1,large
t1,89_2,low prob,"['L2', 'L1']",0.0,L1,large
t1,89_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,8_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,8_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,90_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,90_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,91_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,91_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,92_2,low prob,"['L2', 'L1']",0.0,L1,large
t1,92_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,93_2,low prob,"['L2', 'L1']",0.0,L1,large
t1,93_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,94_2,low prob,"['L2', 'L1']",0.09090909090909091,L1,medium
t1,94_3,high prob,"['L2', 'L1']",0.0909090909090909,L2,large
t1,95_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,95_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,96_2,high prob,"['R4P2', 'L2', 'L1', 'R4P1']",0.0,L1,large
t1,96_3,low prob,"['R4P2', 'L2', 'R4P1', 'L1']",0.0,L2,large
t1,97_1,low prob,"['L1', 'L2']",0.0,L1,base
t1,97_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,98_1,low prob,"['R5P2', 'L2', 'L1', 'R5P1']",0.0,L1,large
t1,98_3,high prob,"['L1', 'R5P2', 'L2', 'R5P1']",0.0,L2,large
t1,99_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,99_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,9_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,9_3,low prob,"['L2', 'L1']",0.0,L1,large
t10,100_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,100_3,high prob,"['L1', 'L2']",0.0,L2,large
t10,10_1,low prob,"['L2', 'L1']",0.1666666666666666,L1,large
t10,10_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,11_2,high prob,"['L1', 'L2']",0.0,L1,base
t10,11_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,12_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,12_2,low prob,"['L1', 'L2']",0.0,L1,base
t10,13_1,low prob,"['L2', 'L1']",0.0,L1,large
t10,13_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,14_1,low prob,"['L2', 'L1']",0.0,L1,large
t10,14_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,15_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,15_3,low prob,"['L1', 'L2']",0.0,L2,large
t10,16_1,low prob,"['L2', 'L1']",0.1111111111111111,L1,large
t10,16_2,high prob,"['L1', 'L2']",0.1111111111111111,L1,large
t10,17_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,17_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,18_1,high prob,"['L1', 'L2']",0.0,L1,small
t10,18_3,low prob,"['L2', 'L1']",0.0,L1,large
t10,19_1,low prob,"['L1', 'L2']",0.0,L2,base
t10,19_3,high prob,"['L2', 'L1']",0.0,L1,large
t10,1_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,1_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,20_1,low prob,"['L2', 'L1']",0.0,L1,large
t10,20_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,21_1,low prob,"['R1P2', 'L2', 'R1P1', 'L1']",0.0,L1,large
t10,21_3,high prob,"['R1P2', 'L1', 'L2', 'R1P1']",0.0,L1,large
t10,22_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,22_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,23_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,23_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,24_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,24_2,low prob,"['L1', 'L2']",0.0,L1,small
t10,25_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,25_3,low prob,"['L1', 'L2']",0.1,L1,large
t10,26_1,high prob,"['L2', 'L1']",0.0,L2,large
t10,26_3,low prob,"['L1', 'L2']",0.1111111111111111,L1,base
t10,27_1,low prob,"['L2', 'L1']",0.0,L1,large
t10,27_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,28_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,28_3,low prob,"['L2', 'L1']",0.0,L1,large
t10,29_1,low prob,"['L1', 'L2']",0.0,L1,large
t10,29_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,2_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,2_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,30_1,low prob,"['R1P2', 'L1', 'L2', 'R1P1']",0.0,L2,large
t10,30_2,high prob,"['L2', 'R1P2', 'R1P1', 'L1']",0.0,L1,large
t10,31_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,31_3,low prob,"['L2', 'L1']",0.0,L1,large
t10,32_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,32_2,low prob,"['L2', 'L1']",0.0,L1,large
t10,33_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,33_2,low prob,"['L2', 'L1']",0.0,L1,large
t10,34_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,34_2,low prob,"['L2', 'L1']",0.0,L1,medium
t10,35_1,low prob,"['R2P2', 'L1', 'R2P1', 'L2']",0.0,L1,large
t10,35_3,high prob,"['R2P2', 'L2', 'L1', 'R2P1']",0.0,L1,large
t10,36_2,low prob,"['L2', 'L1']",0.0,L2,large
t10,36_3,high prob,"['L2', 'L1']",0.125,L2,large
t10,37_2,low prob,"['L2', 'L1']",0.125,L1,base
t10,37_3,high prob,"['L2', 'L1']",0.0,L1,large
t10,38_2,high prob,"['L1', 'L2']",0.0,L1,medium
t10,38_3,low prob,"['L1', 'L2']",0.0,L1,medium
t10,39_2,low prob,"['L1', 'L2']",0.2,L1,large
t10,39_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,3_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,3_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,40_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,40_3,low prob,"['L1', 'L2']",0.1666666666666666,L1,large
t10,41_2,high prob,"['L1', 'L2']",0.0,L2,large
t10,41_3,low prob,"['L1', 'L2']",0.2,L2,small
t10,42_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,42_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,43_1,low prob,"['L2', 'L1']",0.0,L2,large
t10,43_2,high prob,"['L1', 'L2']",0.125,L2,large
t10,44_1,high prob,"['L2', 'R3P1', 'L1', 'R3P2']",0.0,L1,large
t10,44_2,low prob,"['R3P1', 'L1', 'R3P2', 'L2']",0.0,L2,base
t10,45_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,45_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,46_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,46_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,47_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,47_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,48_2,low prob,"['L2', 'L1']",0.0,L1,large
t10,48_3,high prob,"['L2', 'L1']",0.0,L1,large
t10,49_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,49_3,low prob,"['L2', 'L1']",0.0,L1,large
t10,4_1,low prob,"['L2', 'L1']",0.125,L1,large
t10,4_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,50_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,50_2,low prob,"['L2', 'L1']",0.0,L1,large
t10,51_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,51_3,low prob,"['L2', 'L1']",0.0,L1,large
t10,52_1,low prob,"['L1', 'L2']",0.1,L1,large
t10,52_2,high prob,"['L2', 'L1']",0.1,L1,large
t10,53_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,53_3,low prob,"['L2', 'L1']",0.0,L1,large
t10,54_1,low prob,"['L1', 'L2']",0.0,L1,large
t10,54_3,high prob,"['L2', 'L1']",0.0,L2,large
t10,55_1,low prob,"['L1', 'L2']",0.0,L2,large
t10,55_2,high prob,"['L2', 'L1']",0.0909090909090909,L2,large
t10,56_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,56_2,low prob,"['L2', 'L1']",0.0,L1,large
t10,57_1,high prob,"['R1P1', 'L1', 'L2', 'R1P2']",0.0,L1,large
t10,57_3,low prob,"['R1P1', 'L2', 'R1P2', 'L1']",0.0,L1,large
t10,58_1,low prob,"['L2', 'L1']",0.1428571428571428,L1,large
t10,58_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,59_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,59_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,5_1,high prob,"['L2', 'L1']",0.0,L2,large
t10,5_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,60_1,low prob,"['L1', 'L2']",0.0,L1,large
t10,60_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,61_2,low prob,"['R2P2', 'L2', 'L1', 'R2P1']",0.2222222222222222,L1,large
t10,61_3,high prob,"['L2', 'R2P2', 'R2P1', 'L1']",0.1111111111111111,L2,tiny
t10,62_1,low prob,"['L1', 'L2']",0.0,L1,large
t10,62_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,63_1,low prob,"['L1', 'L2']",0.0,L1,large
t10,63_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,64_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,64_2,low prob,"['L2', 'L1']",0.0,L1,large
t10,65_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,65_3,low prob,"['L2', 'L1']",0.0,L1,large
t10,66_1,high prob,"['R3P2', 'L1', 'R3P1', 'L2']",0.0,L1,large
t10,66_3,low prob,"['R3P2', 'L2', 'L1', 'R3P1']",0.0,L1,large
t10,67_2,low prob,"['L2', 'L1']",0.0,L1,large
t10,67_3,high prob,"['L2', 'L1']",0.0,L1,large
t10,68_1,low prob,"['L2', 'L1']",0.0,L1,large
t10,68_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,69_1,low prob,"['L2', 'R4P2', 'L1', 'R4P1']",0.0,L1,large
t10,69_3,high prob,"['L1', 'R4P2', 'R4P1', 'L2']",0.0,L1,large
t10,6_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,6_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,70_1,low prob,"['L2', 'L1']",0.0,L2,large
t10,70_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,71_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,71_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,72_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,72_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,73_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,73_2,low prob,"['L1', 'L2']",0.0,L2,large
t10,74_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,74_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,75_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,75_3,low prob,"['L1', 'L2']",0.25,L1,base
t10,76_1,low prob,"['L2', 'L1']",0.0,L1,large
t10,76_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,77_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,77_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,78_2,high prob,"['L2', 'L1']",0.0,L1,small
t10,78_3,low prob,"['L2', 'L1']",0.1666666666666666,L1,large
t10,79_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,79_3,low prob,"['L2', 'L1']",0.0,L1,large
t10,7_1,low prob,"['L2', 'L1']",0.0,L1,large
t10,7_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,80_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,80_2,low prob,"['L2', 'L1']",0.0,L1,large
t10,81_1,low prob,"['L1', 'L2']",0.0,L1,large
t10,81_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,82_2,high prob,"['R1P2', 'L2', 'L1', 'R1P1']",0.0,L2,large
t10,82_3,low prob,"['R1P2', 'L2', 'L1', 'R1P1']",0.0,L1,large
t10,83_2,low prob,"['L2', 'L1']",0.0,L1,small
t10,83_3,high prob,"['L2', 'L1']",0.0,L1,large
t10,84_1,low prob,"['L1', 'L2']",0.0,L1,large
t10,84_3,high prob,"['L2', 'L1']",0.0,L1,large
t10,85_1,low prob,"['L1', 'L2']",0.0,L1,large
t10,85_3,high prob,"['L2', 'L1']",0.0,L1,large
t10,86_2,low prob,"['L2', 'L1']",0.0,L1,large
t10,86_3,high prob,"['L2', 'L1']",0.0,L1,large
t10,87_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,87_3,low prob,"['L2', 'L1']",0.0,L1,large
t10,88_1,high prob,"['L2', 'L1']",0.0,L1,large
t10,88_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,89_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,89_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,8_1,low prob,"['L1', 'L2']",0.0,L1,large
t10,8_2,high prob,"['L2', 'L1']",0.0,L1,large
t10,90_1,low prob,"['L2', 'L1']",0.0,L1,large
t10,90_2,high prob,"['L1', 'L2']",0.0,L1,large
t10,91_1,low prob,"['L2', 'L1']",0.16666666666666666,L1,medium
t10,91_2,high prob,"['L1', 'L2']",0.1666666666666666,L1,large
t10,92_2,low prob,"['L1', 'L2']",0.0,L1,large
t10,92_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,93_2,low prob,"['R2P2', 'L1', 'R2P1', 'L2']",0.0,L1,large
t10,93_3,high prob,"['R2P2', 'L1', 'L2', 'R2P1']",0.0,L1,large
t10,94_2,low prob,"['L1', 'L2']",0.0909090909090909,L2,large
t10,94_3,high prob,"['L1', 'L2']",0.0909090909090909,L1,large
t10,95_1,low prob,"['L2', 'L1']",0.0,L1,large
t10,95_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,96_2,high prob,"['L1', 'L2']",0.0,L2,medium
t10,96_3,low prob,"['L1', 'L2']",0.0,L1,large
t10,97_1,low prob,"['L2', 'L1']",0.0,L1,base
t10,97_3,high prob,"['L1', 'L2']",0.0,L1,large
t10,98_1,low prob,"['L1', 'L2']",0.0,L2,large
t10,98_3,high prob,"['L2', 'L1']",0.0,L1,large
t10,99_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,99_3,low prob,"['L2', 'L1']",0.0,L1,medium
t10,9_1,high prob,"['L1', 'L2']",0.0,L1,large
t10,9_3,low prob,"['L2', 'L1']",0.0,L1,large
t12,100_2,low prob,"['L2', 'R11P2', 'L1', 'R11P1']",0.0,L2,large
t12,100_3,high prob,"['R11P1', 'L2', 'L1', 'R11P2']",0.0,L1,large
t12,10_1,low prob,"['L2', 'L1']",0.1666666666666666,L1,large
t12,10_3,high prob,"['L1', 'L2']",0.0,L1,medium
t12,11_2,high prob,"['L1', 'L2']",0.0,L2,large
t12,11_3,low prob,"['L1', 'L2']",0.0,L1,large
t12,12_1,high prob,"['L2', 'L1']",0.0,L1,large
t12,12_2,low prob,"['L1', 'L2']",0.0,L1,medium
t12,13_1,low prob,"['L2', 'L1']",0.0,L1,large
t12,13_3,high prob,"['L1', 'L2']",0.0,L1,large
t12,14_1,low prob,"['L2', 'L1']",0.0,L1,large
t12,14_2,high prob,"['L1', 'L2']",0.0,L2,large
t12,15_2,high prob,"['L1', 'L2']",0.0,L1,large
t12,15_3,low prob,"['L1', 'L2']",0.42857142857142855,L1,base
t12,16_1,low prob,"['L2', 'L1']",0.2222222222222222,L1,large
t12,16_2,high prob,"['L1', 'L2']",0.1111111111111111,L2,tiny
t12,17_2,high prob,"['L1', 'L2']",0.0,L1,large
t12,17_3,low prob,"['L1', 'L2']",0.0,L1,large
t12,18_1,high prob,"['L1', 'R2P2', 'R2P1', 'L2']",0.0,R2P1,large
t12,18_3,low prob,"['L2', 'L1', 'R2P1']",0.0,L1,large
t12,19_1,low prob,"['L1', 'L2']",0.0,L1,base
t12,19_3,high prob,"['L2', 'L1']",0.0,L1,large
t12,1_1,high prob,"['L2', 'L1']",0.0,L1,large
