Sentence ID,Expected Transcription,,t1_L1_large,t1_L2_large,t1_L1_turbo,t1_L2_turbo,t2_L1_large,t2_L2_large,t2_L1_turbo,t2_L2_turbo,t3_L1_large,t3_L2_large,t3_L1_turbo,t3_L2_turbo,t4_large,t4_turbo
18_1,Mommy read me my favorite book.,high prob,duplicate,bad sentence,,bad sentence,,,,,,,,,,
18_2,Fommy read me my favorite broom.,nonword,fahmy,"first words cut off, Fahmy",fami,"Fami, broom, duplicate","For me, Ramy is",Thaumirami,,,,,,,,
18_3,Mommy read me my favorite broom.,low prob,duplicate,duplicate,,,wrapped me up,ran,,,,,,,,
19_1,The king lived in a large tv.,low prob,duplicate,duplicate,,,tevi,tevi,,,,,,,,
19_2,The bing lived in a large tv.,nonword,,,,,Bean Levy,"bean, tepee",,,,,,,,
19_3,The king lived in a large castle.,high prob,duplicate,duplicate,,,,,,,,,,,,
20_1,Please sweep the floor with a snowman.,low prob,duplicate,duplicate,,,,,,,,,,,,
20_2,Please greep the floor with a snowman.,nonword,grip,scrape,grip,grip,grip,grip,,,,,,,,
20_3,Please sweep the floor with a broom.,high prob,,duplicate,,,,whip,,,,,,,,
21_1,"He always wears a helmet on that fast, loud ball.",low prob,duplicate,bell,,bell,,,,,,,,,,
21_2,"He always wears a belmet on that fast, loud ball.",nonword,helmet,helmet,helmet,helmet,huge helmet,helmet,,,,,,,,
21_3,"He always wears a helmet on that fast, loud motorcycle.",high prob,duplicate,duplicate,,,,,,,,,,,,
22_1,The bride wore a fancy dress.,high prob,,,,brides,,,,,,,,,,
22_2,The kide wore a fancy bed.,nonword,"kyde, were, duplicate","kite, were, duplicate","kaid, were","kind, were",kite,kite,,,,,,,,
22_3,The bride wore a fancy bed.,low prob,,duplicate,,,,,,,,,,,,
23_1,When raddy cooks he adds pepper and duck.,nonword,Ratty,Ratty,Ratty,,"ready, dog",reddy,,,,,,,,
23_2,When daddy cooks he adds pepper and salt.,high prob,,duplicate,,,,,,,,,,,,
23_3,When daddy cooks he adds pepper and duck.,low prob,duplicate,duplicate,,,,dog,,,,,,,,
24_1,The mommy put a diaper on her baby.,high prob,,,his,his,my mommy,,,,,,,,,
24_2,The mommy put a diaper on her cereal.,low prob,duplicate,duplicate,,,my mommy,,,,,,,,,
24_3,The plommy put a diaper on her cereal.,nonword,plummie,plummie,plumie,plummy,plummy,plummie,,,,,,,,
25_1,When I get a cold I have a runny nose.,high prob,,,,,,it cold,,,,,,,,
25_2,When I get a brold I have a runny pumpkin.,nonword,"abroad, duplicate","up road, duplicate",abroad,up road,broad,broad,,,,,,,,
25_3,When I get a cold I have a runny pumpkin.,low prob,,,running,,,it cold,,,,,,,,
26_1,The bee sat on the petals of the flower.,high prob,duplicate,,,set,bead set,,,,,,,,,
26_2,The swee sat on the petals of the watch.,nonword,"Swiss, paddles","Sui, paddles","swede, set, pedals","swee, paddles",sweet,"swiss, paddles",,,,,,,,
26_3,The bee sat on the petals of the watch.,low prob,"bead, duplicate",duplicate,"B, set, pedals","B, set, pedals",bead  ,"bees, wood",,,,,,,,
27_1,The swimmer was being chased by a giant house.,low prob,duplicate,duplicate,,,,,,,,,,,,
27_2,The fimmer was being chased by a giant house.,nonword,femur,femur,femur,femur,femur,femur,,,,,,,,
27_3,The swimmer was being chased by a giant shark.,high prob,duplicate,duplicate,,,,,,,,,,,,
28_1,"First put on your nocks, then put on your crayons.",nonword,,knocks,,,,nox,,,,,,,,
28_2,"First put on your socks, then put on your shoes.",high prob,duplicate,duplicate,,,,,,,,,,,,
28_3,"First put on your socks, then put on your crayons.",low prob,duplicate,duplicate,,,,,,,,,,,,
29_1,The gift was inside the zebra.,low prob,,,,,a,,,,,,,,,
29_2,The gift was inside the box.,high prob,duplicate,duplicate,,,,,,,,,,,,
29_3,The tift was inside the zebra.,nonword,,,,jeet zebra,,,,,,,,,,
30_1,"At the picnic, the crumbs attracted eggs.",low prob,duplicate,aduplicate,,,attract,attract,,,,,,,,
30_2,"At the picnic, the crumbs attracted ants.",high prob,,,,,attract,attract,,,,,,,,
30_3,"At the ricnic, the crumbs attracted eggs.",nonword,"ryknick, of track, duplicate",rycknik,"ricknick, of tracked",ricknick,reticnique,root nect,,,,,,,,
31_1,The drilot flew the rope.,nonword,"plural, duplicate",drylet,drill out,drylet,trailer,driver,,,,,,,,
31_2,The pilot flew the airplane.,high prob,duplicate,duplicate,,,,Playa of Flute,,,,,,,,
31_3,The pilot flew the rope.,low prob,,,,,,,,,,,,,,
32_1,On her finger she wore a ring.,high prob,,,,,,,,,,,,,,
32_2,On her finger she wore a rocket.,low prob,,duplicate,,,,,,,,,,,,
32_3,On her minger she wore a rocket.,nonword,,"a harminger, rock",,"a herminger, were, rock",,minkler,,,,,,,,
33_1,"For Halloween, he carved a pumpkin.",high prob,,,,,,,,,,,,,,
33_2,"For Halloween, he carved a dress.",low prob,,,,,,,,,,,,,,
33_3,"For Balloween, he carved a dress.",nonword,bottle wings,Bottle Wien,Bolo win,Bottle Win,bellowing,bellowing,,,,,,,,
34_1,"At the zoo, I saw a tall giraffe.",high prob,duplicate,,,,,,,,,,,,,
34_2,"At the zoo, I saw a tall key.",low prob,duplicate,duplicate,,,turkey,turkey,,,,,,,,
34_3,"At the broo, I saw a tall key.",nonword,broom,brew,broom,broom,"brew, turkey","brew, turkey",,,,,,,,
35_1,"At the haunted house, I saw a bird.",low prob,,duplicate,,,,,,,,,,,,
35_2,"At the haunted kowce, I saw a bird.",nonword,"cows, duplicate",hunted cows,cows,i had hunted cows,cows,house,,,,,,,,
35_3,"At the haunted house, I saw a ghost.",high prob,,,,,,,,,,,,,,
36_1,Sitting on the vilypad was a bridge.,nonword,"villi pad, no a","willy pad, duplicate","villi pad, the bridge",villi pad,village path,villi pad,,,,,,,,
36_2,Sitting on the lilypad was a bridge.,low prob,"duplicate, no a","setting, with the, duplicate",with a,"setting, wiht the",,,,,,,,,,
36_3,Sitting on the lilypad was a frog.,high prob,,duplicate,,,,,,,,,,,,
37_1,Dandma sits on her porch in a bat.,nonword,denma,duplicate,denma,"dand ma, bath","then ma, bat","brandma, bed",,,,,,,,
37_2,Grandma sits on her porch in a bat.,low prob,bed,,,bath,the bed ,bed,,,,,,,,
37_3,Grandma sits on her porch in a chair.,high prob,,duplicate,,,,,,,,,,,,
38_1,I fixed the torn mage with a piece of book.,nonword,,,,,"fix, torrid","fix, pixel",,,,,,,,
38_2,I fixed the torn page with a piece of tape.,high prob,,duplicate,,,fix ,fix ,,,,,,,,
38_3,I fixed the torn page with a piece of book.,low prob,,,,,torrent,,,,,,,,,
39_1,The trunny nibbled a clown.,nonword,truly,trany,truny,trony,Chani,Chonye Nebo,,,,,,,,
39_2,The bunny nibbled a clown.,low prob,"no the, duplicate",,no the,,nibble eclon,,,,,,,,,
39_3,The bunny nibbled a carrot.,high prob,"20, okay. ?",,choney,,,,,,,,,,,
40_1,"For breakfast, I scrambled the eggs.",high prob,,duplicate,,,,,,,,,,,,
40_2,"For deckfast, I scrambled the guns.",nonword,tech-fest,"Techfest, duplicate",techfist,Techfest,"deck fast, gons","deck first, cards",,,,,,,,
40_3,"For breakfast, I scrambled the guns.",low prob,duplicate,duplicate,,,gonds,gauze,,,,,,,,
41_1,"Oink Oink, ked the shoes.",nonword,"said ked, duplicate","wink wink, duplicate",said ked,oink wink cad,cat,cat,,,,,,,,
41_2,"Oink Oink, said the pig.",high prob,,"duplicate, you",oink wink,oink wink  ,"set, peg",,,,,,,,,
41_3,"Oink Oink, said the shoes.",low prob,duplicate,duplicate,,,set,"oin oin, set",,,,,,,,
42_1,"To keep the sun out of my face, I wear a hat.",high prob,duplicate,duplicate,,,sound,,,,,,,,,
42_2,"To keep the pun out of my face, I wear a train.",nonword,duplicate,,,,"pond, chain",,,,,,,,,
42_3,"To keep the sun out of my face, I wear a train.",low prob,,,,,sound,,,,,,,,,
43_1,The boy put the groceries in a horse.,low prob,,"the, duplicate",,the,,,,,,,,,,
43_2,The boy put the groceries in a bag.,high prob,duplicate,the back,,the back,,,,,,,,,,
43_3,The zoy put the groceries in a horse.,nonword,Zoi,Zoe,zoe,Zoe,Zui,zui,,,,,,,,
44_1,"When Grandma reads, she needs her glasses.",high prob,,,,,,,,,,,,,,
44_2,"When Grandma reads, she needs her boat.",low prob,duplicate,duplicate,,,,knits,,,,,,,,
44_3,"When Bandma reads, she needs her boat.",nonword,,Banima,,Banma,Ben marries,"grandma, duplicate",,,,,,,,
45_1,I wear sunglasses to shade my eyes.,high prob,,,,,,,,,,,,,,
45_2,I wear sunglasses to shade my fire.,low prob,,duplicate,,,,,,,,,,,,
45_3,I wear bunglasses to shade my fire.,nonword,bunk glasses,"I'll, bunk glasses",bung glasses,"I'll, bunk glasses, wear my",thong glasses,bong glasses,,,,,,,,
46_1,"At Shallentine's day, we drew lots of pants.",nonword,"the Chalentine's, duplicate","Valentine's, duplicate",the Shalentine's,Shalentine's ,"Chalentine, pens",Chartalan's,,,,,,,,
46_2,"At Valentine's day, we drew lots of pants.",low prob,a lot of,,a lot of,,pens,,,,,,,,,
46_3,"At Valentine's day, we drew lots of hearts.",high prob,duplicate,,,,,,,,,,,,,
47_1,"At brinner, my family sits together at the man.",nonword,"brenner, men",Brno. duplicate,brenner,,,Brunner,,,,,,,,
47_2,"At dinner, my family sits together at the table.",high prob,,,,,,,,,,,,,,
47_3,"At dinner, my family sits together at the man.",low prob,duplicate,duplicate,,men,,,,,,,,,,
48_1,We moved our burniture on the back of a flower.,nonword,"furniture, duplicate","furinture, duplicate",furniture,,furniture,move our bonnet,,,,,,,,
48_2,We moved our furniture on the back of a flower.,low prob,duplicate,,removed,,move,remove ,,,,,,,,
48_3,We moved our furniture on the back of a truck.,high prob,,,missing???,,move,,,,,,,,,
49_1,The floy will grow to become a salt.,nonword,"floyd, duplicate","floyd, duplicate",fluid,floyd,Floyd,floyd,,,,,,,,
49_2,The boy will grow to become a man.,high prob,,duplicate,,,,,,,,,,,,
49_3,The boy will grow to become a salt.,low prob,,,missing...,,Korean??????,,,,,,,,,
50_1,Soldiers shoot with their guns.,high prob,duplicate,duplicate,,,,,,,,,,,,
50_2,Soldiers shoot with their glasses.,low prob,,nodgers,,noders,classes,,,,,,,,,
50_3,Noldiers shoot with their glasses.,nonword,nodgers,noges,noders,no ,note your shoes,no judge shoots,,,,,,,,
51_1,She sleeps with her med on a fish.,nonword,duplicate,"meds, duplicate",,meds,mat,on her mat,,,,,,,,
51_2,She sleeps with her head on a pillow.,high prob,,,,,,on her head,,,,,,,,
51_3,She sleeps with her head on a fish.,low prob,,,,,slips,,,,,,,,,
52_1,"To see what time it is, look at a pizza.",low prob,,the pizza,,the pizza,,,,,,,,,,
52_2,"To see what time it is, look at a clock.",high prob,the clock,duplicate,the clock,the clock ,,,,,,,,,,
52_3,"To see what bime it is, look at a pizza.",nonword,"time, the pizza",time,biome,,brand,time,,,,,,,,
53_1,The vampire can turn into a bat.,high prob,,,,,,,,,,,,,,
53_2,The kampire can turn into a ring.,nonword,campire,"campire, duplicate",campfire,campfire,campfire,campfire,,,,,,,,
53_3,The vampire can turn into a ring.,low prob,,,,,,,,,,,,,,
54_1,In the bathtub there is a floating little wheel.,low prob,,,,,view,,,,,,,,,
54_2,"In the plathtub, there is a floating little wheel.",nonword,platt tub,"plastic tub, duplicate",,,"platy top, view",flat top,,,,,,,,
54_3,In the bathtub there is a floating little rubber ducky.,high prob,duplicate,,,,doggy,,,,,,,,,
55_1,The sound was so loud I had to cover my shirt.,low prob,,,,,,,,,,,,,,
55_2,The sound was so loud I had to cover my ears.,high prob,,duplicate,,,,,,,,,,,,
55_3,The gound was so loud I had to cover my shirt.,nonword,"gong, duplicate","gong, duplicate",gong,gant,ground,gun,,,,,,,,
56_1,I was scared that under my bed there could be a monster.,high prob,,,,,,,,,,,,,,
56_2,I was scared that under my bed there could be a motorcycle.,low prob,,,,,,,,,,,,,,
56_3,I was scared that under my gred there could be a motorcycle.,nonword,grits,"grids, duplicate",grades,grades,grad,grad,,,,,,,,
57_1,At the playground I like to go down the slide.,high prob,,,,,,,,,,,,,,
57_2,At the tayground I like to go down the candle.,nonword,teaground,playground,tea ground,playground,tei ground,tei ground,,,,,,,,
57_3,At the playground I like to go down the candle.,low prob,duplicate,duplicate,,,,,,,,,,,,
58_1,Inside the nest sat a beautiful table.,low prob,,,,,set,set,,,,,,,,
58_2,Inside the frest sat a beautiful table.,nonword,"frist set, duplicate","frist set, duplicate",frist set,frist set,"flat, set","flat, set",,,,,,,,
58_3,Inside the nest sat a beautiful bird.,high prob,,,,,,,,,,,,,,
59_1,At the playground the girl went on the swings.,high prob,,,,,,,,,,,,,,
59_2,At the playground the girl went on the oranges.,low prob,duplicate,duplicate,,,,,,,,,,,,
59_3,At the snayground the girl went on the oranges.,nonword,"snare ground, duplicate","snake-ground, duplicate",snake grounds,staying ground,add a snake ground grow,add a snake around the globe when ,,,,,,,,
60_1,The bank is where he keeps the spider.,low prob,,,,,,,,,,,,,,
60_2,The bank is where he keeps the money.,high prob,duplicate,,,,,,,,,,,,,
60_3,The hank is where he keeps the spider.,nonword,,duplicate,henk,henk,hang,,,,,,,,,
61_1,I used 3 big coballs to make a bear.,nonword,cobalt,cobalt,,cobalt,buck balls,"cobalt, beer",,,,,,,,
61_2,I used 3 big snowballs to make a bear.,low prob,,duplicate,,,beard,,,,,,,,,
61_3,I used 3 big snowballs to make a snowman.,high prob,duplicate,,duplicate,,,,,,,,,,,
62_1,The cowboy is very good at riding his hat.,low prob,,duplicate,,,head,,,,,,,,,
62_2,The cowboy is very good at riding his horse.,high prob,,,,,,,,,,,,,,
62_3,The lowboy is very good at riding his hat.,nonword,Lyle boy,"Lyle boy, duplicate",Lao boy,Lao boy,"low boy, head",Lao boy,,,,,,,,
63_1,I fell in the mud and have to put on a new button.,low prob,,duplicate,,,bottom,bottom,,,,,,,,
63_2,I fell in the mud and have to put on a new shirt.,high prob,,,,,,,,,,,,,,
63_3,I fell in the hud and have to put on a new button.,nonword,,hut,,,"hard, bottom","hut, bottom",,,,,,,,
64_1,You can open the locked door with the key.,high prob,,duplicate,,,lock door,lock door,,,,,,,,
64_2,You can open the locked door with the shovel.,low prob,,,,,,lock door,,,,,,,,
64_3,You can open the locked bore with the shovel.,nonword,duplicate,duplicate,,,,board,,,,,,,,
65_1,The coloring book comes with a box of crayons.,high prob,duplicate,duplicate,,,,,,,,,,,,
65_2,The coloring hook comes with a box of hair.,nonword,,,,,,,,,,,,,,
65_3,The coloring book comes with a box of hair.,low prob,,,,,"books come, duplicate",,,,,,,,,
66_1,"For breakfast, Mommy poured me a bowl of cereal.",high prob,,,,,put me,,,,,,,,,
66_2,"For sleckfast, Mommy poured me a bowl of butterfly.",nonword,"slugfest, duplicate",slugfest,slagfest,slagfest,breakfast,slack fish,,,,,,,,
66_3,"For breakfast, Mommy poured me a bowl of butterfly.",low prob,,,,,,,,,,,,,,
67_1,The matterpillar turned into a piano.,nonword,caterpillar,matter pillar,caterpillar,matter pillar,metapillar,caterpillar,,,,,,,,
67_2,The caterpillar turned into a piano.,low prob,,,,,,,,,,,,,,
67_3,The caterpillar turned into a butterfly.,high prob,,,,,,,,,,,,,,
68_1,At the circus the girl saw the truck.,low prob,girls,"girls, duplicate",girls,,,,,add the circles to grow soldier chalk,,,,,,
68_2,At the circus the girl saw the clown.,high prob,girls,,girls,,,,,,,,,,,
68_3,At the pircus the girl saw the truck.,nonword,Perkis,Perkins,Perkis,Perkins,,,percuss,add percocets to grow salt truck,,,,,,
69_1,Kids sit in the back seat of the bee.,low prob,duplicate,duplicate,,,,,,,,,,,,
69_2,Spids sit in the back seat of the bee.,nonword,Spitz,spitz,,spitz,,,Spitz sits,Spitz,,,,,,
69_3,Kids sit in the back seat of the car.,high prob,"kid sits, duplicate",,,,,,kid sit,,,,,,,
70_1,Cows eat a lot of shell.,low prob,,,,,,,,,,,,,,
70_2,Cows eat a lot of grass.,high prob,,,,,,,,,,,,,,
70_3,Zows eat a lot of shell.,nonword,douse,zao,,,,,Zous,Cows,,,,,,
71_1,I have a spoon but I need a fork.,high prob,,,,,,,,,,,,,,
71_2,I have a woon but I need a web.,nonword,wound,wound,wound,wound,,,wound,his wound,,,,,,
71_3,I have a spoon but I need a web.,low prob,,,,,,,,,,,,,,
72_1,The coy has a toy choo-choo leaf.,nonword,"koi had, duplicate",duplicate,had,,,,koi,,,,,,,
72_2,The boy has a toy choo-choo leaf.,low prob,,,,,,,,,,,,,,
72_3,The boy has a toy choo-choo train.,high prob,,duplicate,,,,,,,,,,,,
73_1,Use the remote to change the channels on the tv.,high prob,duplicate,duplicate,,,,,,,,,,,,
73_2,Use the remote to change the channels on the castle.,low prob,,,,,,,,,,,,,,
73_3,Use the resote to change the channels on the castle.,nonword,result,result,result,result,,,,,,,,,,
74_1,You can make juice from fresh squeezed oranges.,high prob,duplicate,duplicate,,,,,,,,,,,,
74_2,You can make booce from fresh squeezed tape.,nonword,booths,"booths, duplicate","boots, script",boots,,,,,,,,,,
74_3,You can make juice from fresh squeezed tape.,low prob,duplicate,duplicate,,,,,,,,,,,,
75_1,"To mive the car, daddy turns the hearts.",nonword,"my, duplicate","my, duplicate",mind,mine,,,,,,,,,,
75_2,"To drive the car, daddy turns the wheel.",high prob,,,,,,,,,,,,,,
75_3,"To drive the car, daddy turns the hearts.",low prob,,,,,,,,,,,,,,
76_1,The man checked the time on his stairs.,low prob,duplicate,duplicate,,,,,,,,,,,,
76_2,The gan checked the time on his stairs.,nonword,"gant, dulicate","ghan, duplicate",gang,again,,,,,,,,,,
76_3,The man checked the time on his watch.,high prob,duplicate,,,,,,,,,,,,,
77_1,The aquarium has many different fish.,high prob,,,,,,,,,,,,,,
77_2,The adarium has many different swings.,nonword,atarium,otarium,atarium,otarium,,,,,,,,,,
77_3,The aquarium has many different swings.,low prob,duplicate,,,,,,,,,,,,,
78_1,The spapple grew on a bell.,nonword,"sparple, duplicate","sparrow, duplicate",sparkle,sparple,,,,,,,,,,
78_2,The apple grew on a tree.,high prob,,,,,,,,,,,,,,
78_3,The apple grew on a bell.,low prob,"bough, duplicate",duplicate,,,,,,,,,,,,
79_1,There are 3 bedrooms in their house.,high prob,duplicate,,,,,,,,,,,,,
79_2,There are three tedrooms in their carrot.,nonword,,ted rooms,,ted rooms,,,,,,,,,,
79_3,There are 3 bedrooms in their carrot.,low prob,carat,"carat, duplicate",,,,,,,,,,,,
80_1,We roasted marshmallows over the fire.,high prob,,duplicate,,,,,,,,,,,,
80_2,We roasted marshmallows over the giraffe.,low prob,,,,,,,,,,,,,,
80_3,We roasted sarshmallows over the giraffe.,nonword,sars melos,sarch melos,sarsmallows,serge mellows,,,,,,,,,,
81_1,In the pond there was one quacking pillow.,low prob,,duplicate,cracking,"and the punt, crack quacking",,,,,,,,,,
81_2,In the pond there was one quacking duck.,high prob,,,,,,,,,,,,,,
81_3,In the lond there was one quacking pillow.,nonword,"at lunch, cracking, duplicate",lund,"lund, cracking","lunt, cracking",,,,,,,,,,
82_1,I want to breep in my dog.,nonword,breathe,reap,bleep,"breathe, dark",,,,,,,,,,
82_2,I want to sleep in my bed.,high prob,,duplicate,,,,,,,,,,,,
82_3,I want to sleep in my dog.,low prob,,,,,,,,,,,,,,
83_1,The saterpillar is munching on a green cow.,nonword,"caterpillar, no a",caterpillar,"caterpillar, all green",caterpillar,,,,,,,,,,
83_2,The caterpillar is munching on a green cow.,low prob,duplicate,duplicate,,,,,,,,,,,,
83_3,The caterpillar is munching on a green leaf.,high prob,,,,,,,,,,,,,,
84_1,The brave knight killed the chair.,low prob,,,,,,,,,,,,,,
84_2,The brave pight killed the chair.,nonword,"Pite, duplicate",pite,"pite, kilt",pet,,,,,,,,,,
84_3,The brave knight killed the dragon.,high prob,duplicate,duplicate,,,,,,,,,,,,
85_1,I like to play fetch with my clock.,low prob,,,,,,,,,,,,,,
85_2,I like to play betch with my clock.,nonword,,"bench, duplicate",bitch,bitch,,,,,,,,,,
85_3,I like to play fetch with my dog.,high prob,duplicate,duplicate,,,,,,,,,,,,
86_1,The stirl took lessons to play the dinosaur.,nonword,"thorough, duplicate",sterl,sterile,sterile,,,,,,,,,,
86_2,The girl took lessons to play the dinosaur.,low prob,,,,,,,,,,,,,,
86_3,The girl took lessons to play the piano.,high prob,,duplicate,,,,,,,,,,,,
87_1,I like to crounce the slide.,nonword,"crown, duplicate",cruch,crown,crown,,,,,,,,,,
87_2,I like to bounce the ball.,high prob,want,want,,,,,,,,,,,,
87_3,I like to bounce the slide.,low prob,duplicate,duplicate,,,,,,,,,,,,
88_1,Daddy's shirt was missing a button.,high prob,,,,,,,,,,,,,,
88_2,Daddy's shirt was missing a fork.,low prob,duplicate,duplicate,,,,,,,,,,,,
88_3,Daddy's kirt was missing a fork.,nonword,kurt,kurt,kurt,kurt,,,,,,,,,,
89_1,"When we lost elecSISSity, we had to light a monster.",nonword,electricity,electricity,electricity,electricity,,,,,,,,,,
89_2,"When we lost electricity, we had to light a monster.",low prob,,,,,,,,,,,,,,
89_3,"When we lost electricity, we had to light a candle.",high prob,,,,,,,,,,,,,,
90_1,"When recess ends, the teacher rings the frog.",low prob,duplicate,"Reese's, duplicate",frock,Reese's,,,,,,,,,,
90_2,"When recess ends, the teacher rings the bell.",high prob,duplicate,duplicate,,,,,,,,,,,,
90_3,"When seecess ends, the teacher rings the frog.",nonword,"thesis, duplicate","thesis, duplicate","thesis, frock",thesis,,,,,,,,,,
91_1,I went sailing on a ghost.,low prob,duplicate,,,,,,,,,,,,,
91_2,I went sailing on a boat.,high prob,duplicate,duplicate,,,,,,,,,,,,
91_3,I went bailing on a ghost.,nonword,spailing,spailing,spilling,spailing,,,,,,,,,,
92_1,The marmer milked the nose.,nonword,marmor,"marmor, duplicate",,,,,,,,,,,,
92_2,The farmer milked the nose.,low prob,duplicate,,,,,,,,,,,,,
92_3,The farmer milked the cow.,high prob,,,,,,,,,,,,,,
93_1,I pledge asSEEgiance to the elephant.,nonword,assent,"allegiance, duplicate",allegiance,allegiance,,,,,,,,,,
93_2,I pledge allegiance to the elephant.,low prob,,,,,,,,,,,,,,
93_3,I pledge allegiance to the flag.,high prob,,,,,,,,,,,,,,
