sentence_id,expected_transcription,tag
20_1,Please sweep the floor with a snowman.,low prob
20_2,Please greep the floor with a snowman.,nonword
20_3,Please sweep the floor with a broom.,high prob
21_1,"He always wears a helmet on that fast, loud ball.",low prob
21_2,"He always wears a belmet on that fast, loud ball.",nonword
21_3,"He always wears a helmet on that fast, loud motorcycle.",high prob
22_1,The bride wore a fancy dress.,high prob
22_2,The kide wore a fancy bed.,nonword
22_3,The bride wore a fancy bed.,low prob
23_1,When raddy cooks he adds pepper and duck.,nonword
23_2,When daddy cooks he adds pepper and salt.,high prob
23_3,When daddy cooks he adds pepper and duck.,low prob
24_1,The mommy put a diaper on her baby.,high prob
24_2,The mommy put a diaper on her cereal.,low prob
24_3,The plommy put a diaper on her cereal.,nonword
25_1,When I get a cold I have a runny nose.,high prob
25_2,When I get a brold I have a runny pumpkin.,nonword
25_3,When I get a cold I have a runny pumpkin.,low prob
26_1,The bee sat on the petals of the flower.,high prob
26_2,The swee sat on the petals of the watch.,nonword
26_3,The bee sat on the petals of the watch.,low prob
27_1,The swimmer was being chased by a giant house.,low prob
27_2,The fimmer was being chased by a giant house.,nonword
27_3,The swimmer was being chased by a giant shark.,high prob
28_1,"First put on your nocks, then put on your crayons.",nonword
28_2,"First put on your socks, then put on your shoes.",high prob
28_3,"First put on your socks, then put on your crayons.",low prob
29_1,The gift was inside the zebra.,low prob
29_2,The gift was inside the box.,high prob
29_3,The tift was inside the zebra.,nonword
30_1,"At the picnic, the crumbs attracted eggs.",low prob
30_2,"At the picnic, the crumbs attracted ants.",high prob
30_3,"At the ricnic, the crumbs attracted eggs.",nonword
31_1,The drilot flew the rope.,nonword
31_2,The pilot flew the airplane.,high prob
31_3,The pilot flew the rope.,low prob
32_1,On her finger she wore a ring.,high prob
32_2,On her finger she wore a rocket.,low prob
32_3,On her minger she wore a rocket.,nonword
33_1,"For Halloween, he carved a pumpkin.",high prob
33_2,"For Halloween, he carved a dress.",low prob
33_3,"For Balloween, he carved a dress.",nonword
34_1,"At the zoo, I saw a tall giraffe.",high prob
34_2,"At the zoo, I saw a tall key.",low prob
34_3,"At the broo, I saw a tall key.",nonword
35_1,"At the haunted house, I saw a bird.",low prob
35_2,"At the haunted kowce, I saw a bird.",nonword
35_3,"At the haunted house, I saw a ghost.",high prob
36_1,Sitting on the vilypad was a bridge.,nonword
36_2,Sitting on the lily pad was a bridge.,low prob
36_3,Sitting on the lily pad was a frog.,high prob
37_1,Dandma sits on her porch in a bat.,nonword
37_2,Grandma sits on her porch in a bat.,low prob
37_3,Grandma sits on her porch in a chair.,high prob
38_1,I fixed the torn mage with a piece of book.,nonword
38_2,I fixed the torn page with a piece of tape.,high prob
38_3,I fixed the torn page with a piece of book.,low prob
39_1,The trunny nibbled a clown.,nonword
39_2,The bunny nibbled a clown.,low prob
39_3,The bunny nibbled a carrot.,high prob
40_1,"For breakfast, I scrambled the eggs.",high prob
40_2,"For deckfast, I scrambled the guns.",nonword
40_3,"For breakfast, I scrambled the guns.",low prob
41_1,"Oink Oink, ked the shoes.",nonword
41_2,"Oink Oink, said the pig.",high prob
41_3,"Oink Oink, said the shoes.",low prob
42_1,"To keep the sun out of my face, I wear a hat.",high prob
42_2,"To keep the pun out of my face, I wear a train.",nonword
42_3,"To keep the sun out of my face, I wear a train.",low prob
43_1,The boy put the groceries in a horse.,low prob
43_2,The boy put the groceries in a bag.,high prob
43_3,The zoy put the groceries in a horse.,nonword
44_1,"When Grandma reads, she needs her glasses.",high prob
44_2,"When Grandma reads, she needs her boat.",low prob
44_3,"When Bandma reads, she needs her boat.",nonword
45_1,I wear sunglasses to shade my eyes.,high prob
45_2,I wear sunglasses to shade my fire.,low prob
45_3,I wear bunglasses to shade my fire.,nonword
46_1,"At Shallentine's day, we drew lots of pants.",nonword
46_2,"At Valentine's day, we drew lots of pants.",low prob
46_3,"At Valentine's day, we drew lots of hearts.",high prob
47_1,"At brinner, my family sits together at the man.",nonword
47_2,"At dinner, my family sits together at the table.",high prob
47_3,"At dinner, my family sits together at the man.",low prob
48_1,We moved our burniture on the back of a flower.,nonword
48_2,We moved our furniture on the back of a flower.,low prob
48_3,We moved our furniture on the back of a truck.,high prob
49_1,The floy will grow to become a salt.,nonword
49_2,The boy will grow to become a man.,high prob
49_3,The boy will grow to become a salt.,low prob
50_1,Soldiers shoot with their guns.,high prob
50_2,Soldiers shoot with their glasses.,low prob
50_3,Noldiers shoot with their glasses.,nonword
51_1,She sleeps with her med on a fish.,nonword
51_2,She sleeps with her head on a pillow.,high prob
51_3,She sleeps with her head on a fish.,low prob
52_1,"To see what time it is, look at a pizza.",low prob
52_2,"To see what time it is, look at a clock.",high prob
52_3,"To see what bime it is, look at a pizza.",nonword
53_1,The vampire can turn into a bat.,high prob
53_2,The kampire can turn into a ring.,nonword
53_3,The vampire can turn into a ring.,low prob
54_1,In the bathtub there is a floating little wheel.,low prob
54_2,"In the plathtub, there is a floating little wheel.",nonword
54_3,In the bathtub there is a floating little rubber ducky.,high prob
55_1,The sound was so loud I had to cover my shirt.,low prob
55_2,The sound was so loud I had to cover my ears.,high prob
55_3,The gound was so loud I had to cover my shirt.,nonword
56_1,I was scared that under my bed there could be a monster.,high prob
56_2,I was scared that under my bed there could be a motorcycle.,low prob
56_3,I was scared that under my gred there could be a motorcycle.,nonword
57_1,At the playground I like to go down the slide.,high prob
57_2,At the tayground I like to go down the candle.,nonword
57_3,At the playground I like to go down the candle.,low prob
58_1,Inside the nest sat a beautiful table.,low prob
58_2,Inside the frest sat a beautiful table.,nonword
58_3,Inside the nest sat a beautiful bird.,high prob
59_1,At the playground the girl went on the swings.,high prob
59_2,At the playground the girl went on the oranges.,low prob
59_3,At the snayground the girl went on the oranges.,nonword
60_1,The bank is where he keeps the spider.,low prob
60_2,The bank is where he keeps the money.,high prob
60_3,The hank is where he keeps the spider.,nonword
61_1,I used three big coballs to make a bear.,nonword
61_2,I used three big snowballs to make a bear.,low prob
61_3,I used three big snowballs to make a snowman.,high prob
62_1,The cowboy is very good at riding his hat.,low prob
62_2,The cowboy is very good at riding his horse.,high prob
62_3,The lowboy is very good at riding his hat.,nonword
63_1,I fell in the mud and have to put on a new button.,low prob
63_2,I fell in the mud and have to put on a new shirt.,high prob
63_3,I fell in the hud and have to put on a new button.,nonword
64_1,You can open the locked door with the key.,high prob
64_2,You can open the locked door with the shovel.,low prob
64_3,You can open the locked bore with the shovel.,nonword
65_1,The coloring book comes with a box of crayons.,high prob
65_2,The coloring hook comes with a box of hair.,nonword
65_3,The coloring book comes with a box of hair.,low prob
66_1,"For breakfast, Mommy poured me a bowl of cereal.",high prob
66_2,"For sleckfast, Mommy poured me a bowl of butterfly.",nonword
66_3,"For breakfast, Mommy poured me a bowl of butterfly.",low prob
67_1,The matterpillar turned into a piano.,nonword
67_2,The caterpillar turned into a piano.,low prob
67_3,The caterpillar turned into a butterfly.,high prob
68_1,At the circus the girl saw the truck.,low prob
68_2,At the circus the girl saw the clown.,high prob
68_3,At the pircus the girl saw the truck.,nonword
69_1,Kids sit in the back seat of the bee.,low prob
69_2,Spids sit in the back seat of the bee.,nonword
69_3,Kids sit in the back seat of the car.,high prob
70_1,Cows eat a lot of shell.,low prob
70_2,Cows eat a lot of grass.,high prob
70_3,Zows eat a lot of shell.,nonword
71_1,I have a spoon but I need a fork.,high prob
71_2,I have a woon but I need a web.,nonword
71_3,I have a spoon but I need a web.,low prob
72_1,The coy has a toy choo choo leaf.,nonword
72_2,The boy has a toy choo choo leaf.,low prob
72_3,The boy has a toy choo choo train.,high prob
73_1,Use the remote to change the channels on the tv.,high prob
73_2,Use the remote to change the channels on the castle.,low prob
73_3,Use the resote to change the channels on the castle.,nonword
74_1,You can make juice from fresh squeezed oranges.,high prob
74_2,You can make booce from fresh squeezed tape.,nonword
74_3,You can make juice from fresh squeezed tape.,low prob
75_1,"To mive the car, daddy turns the hearts.",nonword
75_2,"To drive the car, daddy turns the wheel.",high prob
75_3,"To drive the car, daddy turns the hearts.",low prob
76_1,The man checked the time on his stairs.,low prob
76_2,The gan checked the time on his stairs.,nonword
76_3,The man checked the time on his watch.,high prob
77_1,The aquarium has many different fish.,high prob
77_2,The adarium has many different swings.,nonword
77_3,The aquarium has many different swings.,low prob
78_1,The spapple grew on a bell.,nonword
78_2,The apple grew on a tree.,high prob
78_3,The apple grew on a bell.,low prob
79_1,There are three bedrooms in their house.,high prob
79_2,There are three tedrooms in their carrot.,nonword
79_3,There are three bedrooms in their carrot.,low prob
80_1,We roasted marshmallows over the fire.,high prob
80_2,We roasted marshmallows over the giraffe.,low prob
80_3,We roasted sarshmallows over the giraffe.,nonword
81_1,In the pond there was one quacking pillow.,low prob
81_2,In the pond there was one quacking duck.,high prob
81_3,In the lond there was one quacking pillow.,nonword
82_1,I want to breep in my dog.,nonword
82_2,I want to sleep in my bed.,high prob
82_3,I want to sleep in my dog.,low prob
83_1,The saterpillar is munching on a green cow.,nonword
83_2,The caterpillar is munching on a green cow.,low prob
83_3,The caterpillar is munching on a green leaf.,high prob
84_1,The brave knight killed the chair.,low prob
84_2,The brave pight killed the chair.,nonword
84_3,The brave knight killed the dragon.,high prob
85_1,I like to play fetch with my clock.,low prob
85_2,I like to play betch with my clock.,nonword
85_3,I like to play fetch with my dog.,high prob
86_1,The stirl took lessons to play the dinosaur.,nonword
86_2,The girl took lessons to play the dinosaur.,low prob
86_3,The girl took lessons to play the piano.,high prob
87_1,I like to crounce the slide.,nonword
87_2,I like to bounce the ball.,high prob
87_3,I like to bounce the slide.,low prob
88_1,Daddy's shirt was missing a button.,high prob
88_2,Daddy's shirt was missing a fork.,low prob
88_3,Daddy's kirt was missing a fork.,nonword
89_1,"When we lost elecSISSity, we had to light a monster.",nonword
89_2,"When we lost electricity, we had to light a monster.",low prob
89_3,"When we lost electricity, we had to light a candle.",high prob
90_1,"When recess ends, the teacher rings the frog.",low prob
90_2,"When recess ends, the teacher rings the bell.",high prob
90_3,"When seecess ends, the teacher rings the frog.",nonword
91_1,I went sailing on a ghost.,low prob
91_2,I went sailing on a boat.,high prob
91_3,I went bailing on a ghost.,nonword
92_1,The marmer milked the nose.,nonword
92_2,The farmer milked the nose.,low prob
92_3,The farmer milked the cow.,high prob
93_1,I pledge asSEEgiance to the elephant.,nonword
93_2,I pledge allegiance to the elephant.,low prob
93_3,I pledge allegiance to the flag.,high prob
94_1,At the oo I fed the black and white-striped pool.,nonword
94_2,At the zoo I fed the black and white-striped pool.,low prob
94_3,At the zoo I fed the black and white-striped zebra.,high prob
95_1,"Riding on a broom was an old, mean baby.",low prob
95_2,"Riding on a shoom was an old, mean baby.",nonword
95_3,"Riding on a broom was an old, mean witch.",high prob
96_1,"In the oods lived a big, growly witch.",nonword
96_2,"In the woods lived a big, growly witch.",high prob
96_3,"In the woods lived a big, growly bear.",low prob
97_1,"On Christmas, mommy left cookies for eyes.",low prob
97_2,"On Sistmas, mommy left cookies for eyes.",nonword
97_3,"On Christmas, mommy left cookies for santa.",high prob
98_1,"There is one bathroom for the boys, and one for ants.",low prob
98_2,"There is one hathroom for the boys, and one for ants.",nonword
98_3,"There is one bathroom for the boys, and one for girls.",high prob
99_1,"To cross the river, we walked on a bridge.",high prob
99_2,"To cross the sivver, we walked on a banana.",nonword
99_3,"To cross the river, we walked on a banana.",low prob
100_1,I wish I had a plunk like that rubber ducky.,nonword
100_2,I wish I had a trunk like that rubber ducky.,low prob
100_3,I wish I had a trunk like that elephant.,high prob
