,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,participant_id,Sentence ID,Iteration,probability,Expected Transcription,large,base,medium,small,tiny,preproc_exp_transc,large_preproc,base_preproc,medium_preproc,small_preproc,tiny_preproc,large_wer,base_wer,medium_wer,small_wer,tiny_wer
21369,37036,37036,37036,t14,3_1,L1,nonword,"The hing wore a shiny, gold box",The Hangward Shiny Gold Box.,The hangwar shiny gold box.,The Hangwar shiny gold box.,The Hingworth shiny gold box.,The hang war shiny gold box.,"the hing wore a shiny, gold box",the hangward shiny gold box.,the hangwar shiny gold box.,the hangwar shiny gold box.,the hingworth shiny gold box.,the hang war shiny gold box.,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
21377,37044,37044,37044,t14,37_1,L2,nonword,Dandma sits on her porch in a bat.,There are my system reports in the back.,That must just be unreported in the back.,There are much less reports in the back.,There must be some reports in the back.,That must have some reports in the back.,dandma sits on her porch in a bat.,there are my system reports in the back.,that must just be unreported in the back.,there are much less reports in the back.,there must be some reports in the back.,that must have some reports in the back.,0.875,0.875,0.875,0.875,0.875
21380,37047,37047,37047,t14,51_1,L2,nonword,She sleeps with her med on a fish.,She sleeves with her hat with her mat on the fish.,She sleeps with the hat or the man on the fish.,She sleeves with her hat with her mat on the fish.,She sleeps with her head or her mat on the fish.,She sleeps with her head or from mat on the fish.,she sleeps with her med on a fish.,she sleeves with her hat with her mat on the fish.,she sleeps with the hat or the man on the fish.,she sleeves with her hat with her mat on the fish.,she sleeps with her head or her mat on the fish.,she sleeps with her head or from mat on the fish.,0.75,0.75,0.75,0.625,0.625
21387,37054,37054,37054,t14,26_1,L1,high prob,The bee sat on the petals of the flower.,"The bee sat on the petals on the floor, off the floor.
Off the flower.
Off the flower, oh my god, I'm blind.
Okay.","the B set on the pedals on the floor, off the floor, off the flower, oh my god, I'm blind, okay.",the bee sat on the petals on the floor off the floor of the flower oh my god I'm blind okay.,the b set on the petals on the floor off the floor off the flower oh my god I'm blind okay.,"The B set on the petals on the floor, off the floor.
Off the floor.
Off the flower.
Oh my god.
I'm fine.",the bee sat on the petals of the flower.,"the bee sat on the petals on the floor, off the floor. off the flower. off the flower, oh my god, i am blind. okay.","the b set on the pedals on the floor, off the floor, off the flower, oh my god, i am blind, okay.",the bee sat on the petals on the floor off the floor of the flower oh my god i am blind okay.,the b set on the petals on the floor off the floor off the flower oh my god i am blind okay.,"the b set on the petals on the floor, off the floor. off the floor. off the flower. oh my god. i am fine.",1.8888888888888888,2.0,1.5555555555555556,1.8888888888888888,2.0
21388,37055,37055,37055,t14,81_1,L2,low prob,In the pond there was one quacking pillow.,"In the pound there was a quacking pillow.
There was one quacking pillow.","In the pound there was a clocking pillow.
There was one clocking pillow.","In the pound there was a quacking pillow.
There was one quacking pillow.","In the pound there was a quacking pillow.
There was one quacking pillow.","In the pound there was a croaking pillow.
There was one croaking pillow.",in the pond there was one quacking pillow.,in the pound there was a quacking pillow. there was one quacking pillow.,in the pound there was a clocking pillow. there was one clocking pillow.,in the pound there was a quacking pillow. there was one quacking pillow.,in the pound there was a quacking pillow. there was one quacking pillow.,in the pound there was a croaking pillow. there was one croaking pillow.,0.75,0.875,0.75,0.75,0.875
21398,37065,37065,37065,t14,100_3,L2,high prob,I wish I had a trunk like that elephant.,"I wish I had to like a trunk.
I wish I had a trunk like that elephant.",I wish I had a trunk like that elephant.,I wish I had a trunk like that elephant.,"I wish I had a like a trunk.
I wish I had a trunk like that elephant.","I wish I had the like a trunk, I wish I had a trunk like that elephant.",i wish i had a trunk like that elephant.,i wish i had to like a trunk. i wish i had a trunk like that elephant.,i wish i had a trunk like that elephant.,i wish i had a trunk like that elephant.,i wish i had a like a trunk. i wish i had a trunk like that elephant.,"i wish i had the like a trunk, i wish i had a trunk like that elephant.",0.8888888888888888,0.0,0.0,0.8888888888888888,0.8888888888888888
21412,37079,37079,37079,t14,78_1,R2P1,nonword,The spapple grew on a bell.,This pebble grew on my belt.,This bubble grew in my bell.,This purple grew on my bow.,This pebble grew on my bell.,This is triple group Mobile.,the spapple grew on a bell.,this pebble grew on my belt.,this bubble grew in my bell.,this purple grew on my bow.,this pebble grew on my bell.,this is triple group mobile.,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0
21413,37080,37080,37080,t14,32_2,L1,low prob,On her finger she wore a rocket.,"wore a ring.
On her finger, she wore a rocket.",or a ring on her finger she wore a rocket.,wore a ring on her finger she wore a rocket.,wore a ring and her finger she wore a rocket.,"or a ring, don't hurt finger, she wore a rocket.",on her finger she wore a rocket.,"wore a ring. on her finger, she wore a rocket.",or a ring on her finger she wore a rocket.,wore a ring on her finger she wore a rocket.,wore a ring and her finger she wore a rocket.,"or a ring, do not hurt finger, she wore a rocket.",0.5714285714285714,0.4285714285714285,0.4285714285714285,0.5714285714285714,1.0
21414,37081,37081,37081,t14,95_2,L2,nonword,"Riding on a shoom was an old, mean baby.",Rally on the Shroom was all mean baby.,Rating on the Shroom was all mean baby.,Riding on a shoe and what's all mean baby.,Radio nation was all mean baby.,Riding on the ship was all mean baby.,"riding on a shoom was an old, mean baby.",rally on the shroom was all mean baby.,rating on the shroom was all mean baby.,riding on a shoe and what is all mean baby.,radio nation was all mean baby.,riding on the ship was all mean baby.,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.4444444444444444
21443,37110,37110,37110,t14,39_1,L1,nonword,The trunny nibbled a clown.,20 new bullet clowned.,currently in the bullet card.,turning the bullet clown.,aps.,"Chernobyl, the kind cleaned9 colored.",the trunny nibbled a clown.,20 new bullet clowned.,currently in the bullet card.,turning the bullet clown.,aps.,"chernobyl, the kind cleaned9 colored.",1.0,1.0,0.8,1.0,1.0
21446,37113,37113,37113,t14,66_1,L2,high prob,"For breakfast, Mommy poured me a bowl of cereal.","For mummy.
For breakfast, mummy pour me a ball of cereal.","For mummy, for breakfast mummy poured me a ball of cereal.","For mummy.
For breakfast, mummy pour me a ball of cereal.","For mommy.
For breakfast, mommy pour me a ball of cereal.",for mommy for breakfast mommy pour me a ball of cereal.,"for breakfast, mommy poured me a bowl of cereal.","for mummy. for breakfast, mummy pour me a ball of cereal.","for mummy, for breakfast mummy poured me a ball of cereal.","for mummy. for breakfast, mummy pour me a ball of cereal.","for mommy. for breakfast, mommy pour me a ball of cereal.",for mommy for breakfast mommy pour me a ball of cereal.,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5555555555555556
21449,37116,37116,37116,t14,65_2,L1,nonword,The coloring hook comes with a box of hair.,"The coloring box comes with box of hair.
A hook, okay.","The coloring box comes with box of hair.
I'll hug, okay.","The coloring box comes with box of hair.
Huck.
Huck, okay.","The coloring box comes with box of hair.
Okay.","The coloring box comes with box of hair.
Hooked, okay.",the coloring hook comes with a box of hair.,"the coloring box comes with box of hair. a hook, okay.","the coloring box comes with box of hair. i will hug, okay.","the coloring box comes with box of hair. huck. huck, okay.",the coloring box comes with box of hair. okay.,"the coloring box comes with box of hair. hooked, okay.",0.5555555555555556,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.4444444444444444
21457,37124,37124,37124,t14,52_3,L1,nonword,"To see what bime it is, look at a pizza.","To see what rhyme is it, look at a pizza.
To see what rhyme it is.
Yeah.
Use it.
Okay.
Ready.","To see why is it, look at the pizza.
Yeah, okay.","To see what vime is it, look at a pizza.
Just say what vime it is.
Yeah.
Use it as it is.
Okay.
Ready.","To see what vime is it look at a pizza.
Yeah okay.","to see what rhyme is it.
look at the pizza.","to see what bime it is, look at a pizza.","to see what rhyme is it, look at a pizza. to see what rhyme it is. yeah. use it. okay. ready.","to see why is it, look at the pizza. yeah, okay.","to see what vime is it, look at a pizza. just say what vime it is. yeah. use it as it is. okay. ready.",to see what vime is it look at a pizza. yeah okay.,to see what rhyme is it. look at the pizza.,1.4,0.7,1.7,0.5,0.4
21477,37144,37144,37144,t14,15_3,L2,low prob,My friend likes pepperoni on his money.,My friends like to spit on your horse money.,My friends like to spit brownie with money.,My friends like to spit on your money.,My friends like to spit running hoist money.,My friends likes to pick around your horse money.,my friend likes pepperoni on his money.,my friends like to spit on your horse money.,my friends like to spit brownie with money.,my friends like to spit on your money.,my friends like to spit running hoist money.,my friends likes to pick around your horse money.,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571
21482,37149,37149,37149,t14,62_3,L1,nonword,The lowboy is very good at riding his hat.,"The little boy is very good at biting his head.
Loud boy.
Okay.","The low boy is very good at writing his head.
Low boy.","The low boy is very good at riding his head.
Low boy.",the low boy is very good at riding his head low boy okay.,"The low boy is very good at biting his head.
Low boy.
Okay.",the lowboy is very good at riding his hat.,the little boy is very good at biting his head. loud boy. okay.,the low boy is very good at writing his head. low boy.,the low boy is very good at riding his head. low boy.,the low boy is very good at riding his head low boy okay.,the low boy is very good at biting his head. low boy. okay.,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.7777777777777778
21486,37153,37153,37153,t14,15_1,L1,nonword,My nend likes pepperoni on his money.,"My nends like pepperoni on his money.
Nend.
Okay.","My nens like pepperoni on his money.
Nend.
Okay.","My nand's like pepperoni on his money.
Nand.
Okay.",my nend is like pepperoni on his money nend okay.,"My nins like pepperoni on his money.
Nend.
Okay.",my nend likes pepperoni on his money.,my nends like pepperoni on his money. nend. okay.,my nens like pepperoni on his money. nend. okay.,my nand is like pepperoni on his money. nand. okay.,my nend is like pepperoni on his money nend okay.,my nins like pepperoni on his money. nend. okay.,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714
21495,37162,37162,37162,t14,30_1,L2,low prob,"At the picnic, the crumbs attracted eggs.","A.
The picnic to crumb retracted eggs.",Add the picnic to Chrome Attracted X.,Add the picnic to crumb retracted eggs.,Ethapigna to crown attracted eggs.,"As the picnic, the crown retracted eggs.","at the picnic, the crumbs attracted eggs.",a. the picnic to crumb retracted eggs.,add the picnic to chrome attracted x.,add the picnic to crumb retracted eggs.,ethapigna to crown attracted eggs.,"as the picnic, the crown retracted eggs.",0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4285714285714285
21499,37166,37166,37166,t14,7_2,L2,nonword,My veacher showed us fossils of an extinct crown.,My feature showed this fossil extinct crown.,That victor showed us fossa district X think the crown.,My V-Trigger showed us fossil f-extinct cryo.,My feature shoulder is fossil-fix extinct crown.,"The teacher showed us,发 so fixed X namednoct nya.",my veacher showed us fossils of an extinct crown.,my feature showed this fossil extinct crown.,that victor showed us fossa district x think the crown.,my v-trigger showed us fossil f-extinct cryo.,my feature shoulder is fossil-fix extinct crown.,"the teacher showed us,发 so fixed x namednoct nya.",0.5555555555555556,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.8888888888888888
21509,37176,37176,37176,t14,22_2,L2,nonword,The kide wore a fancy bed.,The kite worries Fancy Bad.,The kite where is fancy bed.,The kite wears fancy bed.,The kite where is fancy bed.,The card worries Fancy Bed.,the kide wore a fancy bed.,the kite worries fancy bad.,the kite where is fancy bed.,the kite wears fancy bed.,the kite where is fancy bed.,the card worries fancy bed.,0.6666666666666666,0.5,0.5,0.5,0.5
21510,37177,37177,37177,t14,30_3,L1,nonword,"At the ricnic, the crumbs attracted eggs.","Erychnic, the crimes attracted eggs.",Add the Rignix to the Chrome's Attracted X.,Add the rignac to the crumbs attracted X.,At the right-nick the crimes attracted X.,Add the reconnect the crowns attracted eggs.,"at the ricnic, the crumbs attracted eggs.","erychnic, the crimes attracted eggs.",add the rignix to the chrome is attracted x.,add the rignac to the crumbs attracted x.,at the right-nick the crimes attracted x.,add the reconnect the crowns attracted eggs.,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.4285714285714285,0.4285714285714285
21523,37190,37190,37190,t14,29_3,L1,nonword,The tift was inside the zebra.,The tip for skin inside the box is.,The tearful skin inside the box.,The tiff was against inside the box.,The tearful skin inside the box.,The tearful skins inside the box inside.,the tift was inside the zebra.,the tip for skin inside the box is.,the tearful skin inside the box.,the tiff was against inside the box.,the tearful skin inside the box.,the tearful skins inside the box inside.,0.8333333333333334,0.5,0.5,0.5,0.6666666666666666
21524,37191,37191,37191,t14,98_2,R5P1,nonword,"There is one hathroom for the boys, and one for ants.","There's one bathroom- Oh my god, there's one bathroom for the boys and one for Inz.","There's one bathroom.
Oh my god.
This one has been for the boys and one for ends.","There's one bathroom.
Oh my god.
There's one has been for the boys and one for ends.","There's one bathroom.
Oh my god.
There's one has been for the boys and one for ends.","There's one bathroom, all omega, there's one bathroom for the boys and one for kids.","there is one hathroom for the boys, and one for ants.","there is one bathroom- oh my god, there is one bathroom for the boys and one for inz.",there is one bathroom. oh my god. this one has been for the boys and one for ends.,there is one bathroom. oh my god. there is one has been for the boys and one for ends.,there is one bathroom. oh my god. there is one has been for the boys and one for ends.,"there is one bathroom, all omega, there is one bathroom for the boys and one for kids.",0.9090909090909092,0.9090909090909092,1.0,1.0,0.8181818181818182
21532,37199,37199,37199,t14,67_1,L2,nonword,The matterpillar turned into a piano.,The Mad Ripper turned to play piano.,The meter putter turned to pay piano.,The matter better turn into a piano.,The metropeter turned to play piano.,the master pitchungen to play piano.,the matterpillar turned into a piano.,the mad ripper turned to play piano.,the meter putter turned to pay piano.,the matter better turn into a piano.,the metropeter turned to play piano.,the master pitchungen to play piano.,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666
21533,37200,37200,37200,t14,67_1,R2P1,nonword,The matterpillar turned into a piano.,The Mad Player turns the piano.,The matter per return to the piano.,The mad player turns into a piano.,the magical🖘 return into Pieno.,The Matterpapers are turning to piano.,the matterpillar turned into a piano.,the mad player turns the piano.,the matter per return to the piano.,the mad player turns into a piano.,the magical🖘 return into pieno.,the matterpapers are turning to piano.,0.6666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666
21535,37202,37202,37202,t14,13_2,L2,nonword,My suncle dug a hole with a tree.,My son called out the hole with the tree.,I'll just encode out the hole with the tree.,My son called alcohol with the tree.,Mix some cold alcohol with a treat.,But some code I'll go home with the tree.,my suncle dug a hole with a tree.,my son called out the hole with the tree.,i will just encode out the hole with the tree.,my son called alcohol with the tree.,mix some cold alcohol with a treat.,but some code i will go home with the tree.,0.625,0.875,0.625,0.75,1.0
21559,37226,37226,37226,t14,69_2,L2,nonword,Spids sit in the back seat of the bee.,Spits in the backseat of a bee.,Spills in the back seat of a B.,Spits in the backseat of a B.,Spits in the backseat of a bee.,Spills in the back sea of a bee.,spids sit in the back seat of the bee.,spits in the backseat of a bee.,spills in the back seat of a b.,spits in the backseat of a b.,spits in the backseat of a bee.,spills in the back sea of a bee.,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444
21562,37229,37229,37229,t14,84_2,L2,nonword,The brave pight killed the chair.,"So, brief how you code the chair.","So, brief, I killed the chair.",So breathe 5k of the chair.,So brief how you code the chair.,So breathe five go to chair.,the brave pight killed the chair.,"so, brief how you code the chair.","so, brief, i killed the chair.",so breathe 5k of the chair.,so brief how you code the chair.,so breathe five go to chair.,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334
21563,37230,37230,37230,t14,87_1,L1,nonword,I like to crounce the slide.,"Crowns Dislike, I like to crowns dislike.",The crown is just like I like to crown this light.,I like to crowns this light.,"The crown is just light.
I like the crown is just light.",The crown is just like I like to crown is just like.,i like to crounce the slide.,"crowns dislike, i like to crowns dislike.",the crown is just like i like to crown this light.,i like to crowns this light.,the crown is just light. i like the crown is just light.,the crown is just like i like to crown is just like.,0.8333333333333334,1.3333333333333333,0.5,1.6666666666666667,1.5
21573,37240,37240,37240,t14,30_1,R2P2,low prob,"At the picnic, the crumbs attracted eggs.",It depicted the crimes of Tractor X.,and the pick need the crumbs to track the eggs.,It will pick the crimes attracted X.,I depicting the crimes attract the x.,and defecate the Giant Disinski.,"at the picnic, the crumbs attracted eggs.",it depicted the crimes of tractor x.,and the pick need the crumbs to track the eggs.,it will pick the crimes attracted x.,i depicting the crimes attract the x.,and defecate the giant disinski.,1.0,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571
21577,37244,37244,37244,t14,31_1,L1,nonword,The drilot flew the rope.,"The driller flew the rope.
The drylet, okay.","It's really through the rope to try that.
Okay.",The drill through the rope to dry that okay.,The drill of food to rope to dry that okay.,"The drill of the through to rope.
Let's try that.",the drilot flew the rope.,"the driller flew the rope. the drylet, okay.",it is really through the rope to try that. okay.,the drill through the rope to dry that okay.,the drill of food to rope to dry that okay.,the drill of the through to rope. let us try that.,0.8,1.8,1.4,1.8,1.6
21580,37247,37247,37247,t14,95_2,L1,nonword,"Riding on a shoom was an old, mean baby.",Running on the stream was an all-wean baby.,Riding on the film was the old meme baby.,Running on a film was a all mean baby.,running on the film was a little mean baby.,Running on the film was so old me and baby.,"riding on a shoom was an old, mean baby.",running on the stream was an all-wean baby.,riding on the film was the old meme baby.,running on a film was a all mean baby.,running on the film was a little mean baby.,running on the film was so old me and baby.,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.7777777777777778
